,Position,Arousal,Score
0,"[-75.9864273071289, 1.3878170251846313, 28.94524574279785]",0,0.0
1,"[-76.62945556640625, 1.3876569271087646, 21.070268630981445]",0,0.0
2,"[-78.51189422607422, 1.3876136541366577, 6.536552429199219]",0,0.0
3,"[-79.41407012939453, 1.3876056671142578, -2.5396769046783447]",0,0.0
4,"[-80.28388977050781, 1.3876532316207886, -12.534883499145508]",0,0.0
5,"[-81.15335845947266, 1.3906264305114746, -22.00278091430664]",0,0.0
6,"[-81.94353485107422, 1.4138797521591187, -30.768150329589844]",0,0.0
7,"[-82.80916595458984, 1.397085428237915, -38.95334243774414]",0,0.0
8,"[-83.86601257324219, 1.3922085762023926, -46.263763427734375]",0,0.0
9,"[-86.70941925048828, 1.363818883895874, -60.575164794921875]",0,0.0
10,"[-88.18939971923828, 1.3673081398010254, -66.77203369140625]",0,0.0
11,"[-89.97079467773438, 1.3681310415267944, -72.23245239257812]",0,0.0
12,"[-92.08563995361328, 1.3681888580322266, -76.97787475585938]",0,0.0
13,"[-94.5132064819336, 1.3678574562072754, -81.04071807861328]",0,0.0
14,"[-97.13998413085938, 1.3680989742279053, -84.626708984375]",0,0.0
15,"[-99.87007904052734, 1.367872714996338, -87.86180877685547]",0,0.0
16,"[-103.12808227539062, 1.3678823709487915, -91.29470825195312]",0,0.0
17,"[-106.72175598144531, 1.3957544565200806, -94.67655944824219]",0,0.0
18,"[-114.18816375732422, 1.3812386989593506, -100.69674682617188]",0,0.0
19,"[-118.34809875488281, 1.387730360031128, -103.1048583984375]",0,0.0
20,"[-124.12641906738281, 1.3884986639022827, -105.2825927734375]",0,0.0
21,"[-131.25531005859375, 1.3877737522125244, -107.29325103759766]",0,0.0
22,"[-139.0211944580078, 1.3875246047973633, -109.73047637939453]",0,0.0
23,"[-147.37466430664062, 1.3877099752426147, -113.28025817871094]",0,0.0
24,"[-156.09762573242188, 1.3876478672027588, -117.93904113769531]",0,0.0
25,"[-164.8308868408203, 1.4245585203170776, -123.48821258544922]",0,0.0
26,"[-172.5602264404297, 1.3718165159225464, -128.72987365722656]",0,0.0
27,"[-183.3669891357422, 1.454120397567749, -137.6604461669922]",0,0.0
28,"[-183.09982299804688, 1.3686569929122925, -137.2078094482422]",0,0.0
29,"[-182.897216796875, 1.3643393516540527, -136.72323608398438]",0,0.0
30,"[-182.74911499023438, 1.3682366609573364, -136.34121704101562]",0,0.0
31,"[-182.8150634765625, 1.3681249618530273, -136.6431884765625]",0,0.0
32,"[-183.22561645507812, 1.3679100275039673, -138.13096618652344]",0,0.0
33,"[-183.6294708251953, 1.3678250312805176, -139.96401977539062]",0,0.0
34,"[-183.69288635253906, 1.4141829013824463, -141.96575927734375]",0,0.0
35,"[-183.458740234375, 1.3558343648910522, -144.2193603515625]",0,0.0
36,"[-182.8801727294922, 1.368483543395996, -146.96768188476562]",0,0.0
37,"[-181.73910522460938, 1.3693110942840576, -150.22262573242188]",0,0.0
38,"[-180.33755493164062, 1.3681226968765259, -153.36155700683594]",0,0.0
39,"[-178.7504119873047, 1.3677592277526855, -156.39990234375]",0,0.0
40,"[-177.03579711914062, 1.3681011199951172, -159.39256286621094]",0,0.0
41,"[-175.18572998046875, 1.3678706884384155, -162.2993621826172]",0,0.0
42,"[-173.01263427734375, 1.391313910484314, -165.59510803222656]",0,0.0
43,"[-170.59466552734375, 1.4225825071334839, -169.40219116210938]",0,0.0
44,"[-167.79638671875, 1.398432731628418, -174.13536071777344]",0,1.0
45,"[-161.55404663085938, 1.3864104747772217, -184.03509521484375]",0,1.0
46,"[-157.80853271484375, 1.387751579284668, -189.16143798828125]",0,1.0
47,"[-154.59225463867188, 1.3881092071533203, -193.14675903320312]",0,1.0
48,"[-151.83535766601562, 1.3881421089172363, -196.22128295898438]",0,1.0
49,"[-148.5591278076172, 1.392594814300537, -199.4596710205078]",0,1.0
50,"[-143.96697998046875, 1.407705307006836, -203.68167114257812]",0,1.0
51,"[-132.5670623779297, 1.3820276260375977, -213.18606567382812]",0,1.0
52,"[-127.00433349609375, 1.3639007806777954, -217.39144897460938]",0,1.0
53,"[-121.45975494384766, 1.3696407079696655, -221.50901794433594]",0,1.0
54,"[-116.19132995605469, 1.4169135093688965, -224.57666015625]",0,1.0
55,"[-111.94767761230469, 1.4126290082931519, -225.35499572753906]",0,1.0
56,"[-104.1793212890625, 1.3639088869094849, -225.88616943359375]",0,1.0
57,"[-96.19603729248047, 1.3680158853530884, -226.9180145263672]",0,1.0
58,"[-91.6348876953125, 1.3678884506225586, -227.69107055664062]",0,1.0
59,"[-86.80705261230469, 1.4318362474441528, -228.708251953125]",0,1.0
60,"[-82.3910903930664, 1.398910641670227, -229.95004272460938]",0,1.0
61,"[-78.0925521850586, 1.3830374479293823, -231.8831787109375]",0,1.0
62,"[-73.87479400634766, 1.3872168064117432, -234.41322326660156]",0,1.0
63,"[-69.74496459960938, 1.387948751449585, -237.58692932128906]",0,1.0
64,"[-64.6506576538086, 1.3877438306808472, -242.1064910888672]",0,1.0
65,"[-58.55805969238281, 1.387615442276001, -247.51499938964844]",0,1.0
66,"[-52.076202392578125, 1.4348559379577637, -253.3418426513672]",0,1.0
67,"[-46.23900604248047, 1.3769463300704956, -258.4742736816406]",0,1.0
68,"[-41.139652252197266, 1.3714747428894043, -262.8096008300781]",0,1.0
69,"[-36.91558074951172, 1.3663413524627686, -266.24700927734375]",0,1.0
70,"[-32.822269439697266, 1.3675308227539062, -269.21136474609375]",0,1.0
71,"[-28.184099197387695, 1.368003010749817, -271.79803466796875]",0,1.0
72,"[-23.082239151000977, 1.3679074048995972, -273.731689453125]",0,1.0
73,"[-13.196678161621094, 1.424746036529541, -275.8799743652344]",0,1.0
74,"[-7.692132949829102, 1.3899455070495605, -275.8407287597656]",0,2.0
75,"[-1.5439698696136475, 1.3886590003967285, -274.49163818359375]",0,2.0
76,"[5.09227991104126, 1.387732982635498, -271.3956604003906]",0,2.0
77,"[12.031729698181152, 1.3875516653060913, -266.7572937011719]",0,2.0
78,"[18.48424530029297, 1.3880889415740967, -261.9043884277344]",0,2.0
79,"[24.68104362487793, 1.3876292705535889, -257.0605163574219]",0,2.0
80,"[38.990718841552734, 1.3354099988937378, -245.90628051757812]",0,2.0
81,"[45.387489318847656, 1.3828744888305664, -240.81246948242188]",0,2.0
82,"[48.018882751464844, 1.3509199619293213, -236.4749755859375]",0,2.0
83,"[49.60740280151367, 1.3701276779174805, -232.37066650390625]",0,2.0
84,"[51.45175552368164, 1.3637137413024902, -228.33900451660156]",0,2.0
85,"[53.792362213134766, 1.3697084188461304, -224.19602966308594]",0,2.0
86,"[56.81547927856445, 1.3682737350463867, -220.14959716796875]",0,2.0
87,"[59.99457550048828, 1.3679883480072021, -216.77670288085938]",0,2.0
88,"[62.71486282348633, 1.3982340097427368, -214.4281463623047]",0,2.0
89,"[65.44729614257812, 1.3902961015701294, -212.9148406982422]",0,2.0
90,"[68.4800796508789, 1.3961100578308105, -211.9556427001953]",1,2.0
91,"[70.95085906982422, 1.408297061920166, -211.42054748535156]",1,2.0
92,"[72.9433822631836, 1.4055544137954712, -211.16978454589844]",1,2.0
93,"[75.68976593017578, 1.3917961120605469, -211.22486877441406]",1,2.0
94,"[81.66403198242188, 1.4016313552856445, -212.00238037109375]",1,2.0
95,"[83.80228424072266, 1.3758594989776611, -212.46690368652344]",1,2.0
96,"[85.53590393066406, 1.3676055669784546, -212.89926147460938]",1,2.0
97,"[87.54268646240234, 1.3675031661987305, -213.5040283203125]",1,2.0
98,"[89.80364990234375, 1.3681132793426514, -214.20809936523438]",1,2.0
99,"[91.66148376464844, 1.3681292533874512, -214.74021911621094]",1,2.0
100,"[93.18932342529297, 1.3681044578552246, -215.10658264160156]",1,2.0
101,"[94.44091796875, 1.3681037425994873, -215.33193969726562]",1,2.0
102,"[95.46137237548828, 1.3681055307388306, -215.44476318359375]",1,2.0
103,"[96.28870391845703, 1.3681039810180664, -215.478759765625]",1,2.0
104,"[97.58416748046875, 1.3678779602050781, -215.34701538085938]",1,2.0
105,"[99.89630126953125, 1.3678820133209229, -214.92697143554688]",0,2.0
106,"[102.09784698486328, 1.3676183223724365, -214.17469787597656]",0,2.0
107,"[102.15193939208984, 1.369054913520813, -213.6642303466797]",0,2.0
108,"[102.64236450195312, 1.371110200881958, -213.23399353027344]",0,2.0
109,"[104.20062255859375, 1.3698498010635376, -212.5219268798828]",0,2.0
110,"[105.68061828613281, 1.368937373161316, -211.62930297851562]",0,2.0
111,"[108.58383178710938, 1.3667949438095093, -209.92880249023438]",0,2.0
112,"[110.91785430908203, 1.370263934135437, -208.34300231933594]",0,2.0
113,"[113.49275970458984, 1.3662476539611816, -206.08062744140625]",0,2.0
114,"[113.1717300415039, 1.4422235488891602, -205.0751953125]",0,2.0
