,Position,Arousal,Score
0,"[-75.99529, 1.391082, 31.06389]",1,0
1,"[-76.08873, 1.387314, 27.82445]",1,0
2,"[-76.75488, 1.387335, 22.66824]",1,0
3,"[-78.0076, 1.387637, 15.96871]",1,0
4,"[-79.76212, 1.387657, 8.014672]",1,0
5,"[-81.75319, 1.421092, -0.7946987]",1,0
6,"[-83.38647, 1.426572, -9.451565]",1,0
7,"[-84.01025, 1.400483, -17.71368]",1,0
8,"[-83.86714, 1.404879, -25.49578]",1,0
9,"[-83.39095, 1.385712, -33.44567]",1,0
10,"[-83.31422, 1.433617, -41.76363]",1,0
11,"[-84.32782, 1.377989, -49.83944]",1,0
12,"[-86.20698, 1.375099, -56.82507]",1,0
13,"[-88.73665, 1.368282, -62.79642]",1,0
14,"[-92.02998, 1.366689, -68.14476]",0,0
15,"[-95.8826, 1.367778, -73.13531]",0,0
16,"[-100.1606, 1.367952, -77.87212]",0,0
17,"[-104.704, 1.367878, -82.50401]",0,0
18,"[-109.1979, 1.367818, -87.3092]",0,0
19,"[-113.594, 1.367879, -92.30762]",0,0
20,"[-117.8158, 1.433848, -97.36582]",0,0
21,"[-121.8258, 1.405475, -102.39]",0,0
22,"[-126.3772, 1.379116, -107.4824]",0,0
23,"[-131.7586, 1.390498, -112.8781]",0,0
24,"[-138.1085, 1.38809, -118.6829]",0,0
25,"[-145.1842, 1.388495, -124.8948]",0,0
26,"[-152.1747, 1.388446, -131.5346]",0,0
27,"[-158.4061, 1.388437, -138.8074]",0,0
28,"[-163.2242, 1.387899, -146.7077]",0,0
29,"[-166.0385, 1.387677, -155.1565]",0,0.975
30,"[-166.4476, 1.387668, -163.8119]",0,0
31,"[-164.4365, 1.387664, -172.0295]",0,0
32,"[-160.2162, 1.387665, -179.1864]",0,0
33,"[-154.1666, 1.387667, -184.7492]",0,0
34,"[-146.7708, 1.38758, -188.366]",0,0
35,"[-138.4809, 1.388618, -190.4111]",0,0
36,"[-130.0873, 1.390018, -192.5319]",0,0
37,"[-121.4961, 1.388425, -193.9274]",0,0
38,"[-112.4929, 1.388636, -195.0175]",0,0
39,"[-103.3802, 1.388778, -196.6633]",0,0
40,"[-94.63432, 1.388072, -199.4208]",0,0
41,"[-86.82782, 1.387607, -203.6087]",0,0
42,"[-80.4335, 1.387533, -209.5102]",0,0
43,"[-75.30367, 1.387647, -216.9384]",0,0
44,"[-71.14352, 1.387631, -225.605]",1,0
45,"[-67.61915, 1.387627, -235.2693]",1,0
46,"[-64.61666, 1.387631, -245.7496]",1,0
47,"[-61.95722, 1.388402, -256.6994]",1,0
48,"[-59.14613, 1.388362, -267.478]",1,0
49,"[-55.58923, 1.388488, -277.73]",1,0
50,"[-50.96138, 1.387925, -286.9645]",1,0
51,"[-45.03228, 1.3876, -294.6988]",1,0
52,"[-37.92427, 1.409312, -300.4277]",1,0
53,"[-31.08258, 1.404635, -304.1285]",1,0
54,"[-25.34646, 1.37125, -305.9817]",1,0
55,"[-20.96842, 1.373195, -306.2902]",1,0.9683333333333334
56,"[-17.8692, 1.366817, -305.1789]",1,0
57,"[-15.99249, 1.409438, -303.1258]",1,0
58,"[-14.95754, 1.396116, -300.3448]",1,0
59,"[-14.10552, 1.38958, -296.4578]",0,0
60,"[-12.47411, 1.389597, -291.9044]",0,0
61,"[-8.858444, 1.390365, -287.8906]",0,0
62,"[-3.722212, 1.407513, -284.9991]",0,0
63,"[1.930765, 1.399963, -282.4692]",0,0
64,"[8.137377, 1.384721, -279.9643]",0,0
65,"[15.39588, 1.386043, -277.2967]",0,0
66,"[23.55245, 1.400967, -274.3537]",0,0
67,"[31.40552, 1.379382, -271.2093]",0,0
68,"[37.96514, 1.374289, -267.8793]",0,0
69,"[43.08587, 1.366968, -264.0603]",0,0
70,"[44.29969, 1.368141, -260.4333]",0,0
71,"[44.99449, 1.363172, -256.6122]",0,0
72,"[45.32486, 1.427236, -252.5434]",0,0
73,"[45.2071, 1.408417, -248.8117]",0,0
74,"[44.93518, 1.398167, -245.6401]",0,0
75,"[45.07224, 1.364536, -242.7196]",0,0
76,"[45.95644, 1.370438, -239.508]",0,0
77,"[47.49572, 1.365877, -235.8969]",0,0
78,"[49.60765, 1.367931, -232.1237]",0,0
