,Position,Arousal,Score
0,"[-75.99046, 1.391082, 31.06355]",1,0
1,"[-75.83661, 1.387312, 27.82381]",1,0
2,"[-75.38881, 1.387352, 22.61205]",1,0
3,"[-74.49178, 1.387653, 15.82547]",1,0
4,"[-73.00076, 1.38765, 7.809442]",1,0
5,"[-71.18481, 1.388806, -1.056666]",1,0
6,"[-69.73194, 1.387762, -10.34045]",1,0
7,"[-69.35664, 1.399397, -20.15525]",1,0
8,"[-70.22574, 1.384887, -29.4155]",1,0
9,"[-72.01363, 1.389966, -38.76239]",1,0
10,"[-74.62179, 1.387088, -48.58913]",1,0
11,"[-78.13216, 1.387439, -58.8047]",1,0
12,"[-82.3892, 1.422946, -69.28601]",1,0
13,"[-86.84501, 1.423095, -79.08311]",1,0
14,"[-91.82636, 1.410249, -87.97598]",0,0
15,"[-97.42273, 1.399002, -95.69315]",0,0
16,"[-103.885, 1.383249, -102.251]",0,0
17,"[-111.3264, 1.390446, -108.1277]",0,0
18,"[-119.1266, 1.387989, -113.9334]",0,0
19,"[-126.6518, 1.38848, -120.2067]",0,0
20,"[-133.3824, 1.41786, -127.3478]",0,0
21,"[-139.0499, 1.448707, -134.6955]",0,0
22,"[-143.6727, 1.426101, -141.8316]",0,0
23,"[-147.0571, 1.412252, -149.1888]",0,0
24,"[-148.7577, 1.393592, -156.5476]",0,0.9666666666666667
25,"[-148.3463, 1.388371, -163.5812]",0,0
26,"[-145.5815, 1.387079, -170.006]",0,0
27,"[-140.8936, 1.388276, -175.8993]",0,0
28,"[-135.2772, 1.387582, -181.8131]",0,0
29,"[-129.0941, 1.387705, -188.5888]",0,0
30,"[-122.5739, 1.388425, -196.0178]",0,0
31,"[-115.6372, 1.38752, -203.3461]",0,0
32,"[-107.6612, 1.387727, -210.3336]",0,0
33,"[-98.97437, 1.437487, -216.8198]",0,0
34,"[-90.8429, 1.421307, -222.9408]",0,0
35,"[-83.58264, 1.394473, -229.2127]",0,0
36,"[-77.54558, 1.385828, -236.0386]",0,0
37,"[-72.52893, 1.387874, -243.7247]",0,0
38,"[-67.79539, 1.388716, -251.8191]",0,0
39,"[-62.50887, 1.387368, -259.919]",0,0
40,"[-56.00919, 1.387724, -267.8402]",0,0
41,"[-48.35198, 1.387662, -275.4006]",0,0
42,"[-39.84829, 1.388531, -282.4106]",0,0
43,"[-33.03069, 1.387446, -288.0886]",0,0
44,"[-27.54605, 1.387321, -291.9402]",0,0
45,"[-20.95026, 1.387767, -293.5876]",0,0.9766666666666667
46,"[-13.86731, 1.387705, -292.9168]",0,0
47,"[-6.966102, 1.387657, -289.9937]",0,0
48,"[-0.8638152, 1.387654, -285.0309]",0,0
49,"[4.097677, 1.387602, -278.3608]",0,0
50,"[8.191906, 1.388813, -270.5544]",0,0
51,"[12.16333, 1.387777, -262.2509]",0,0
52,"[16.86591, 1.387765, -253.4186]",0,0
53,"[22.42244, 1.387633, -244.2665]",0,0
54,"[28.70432, 1.387632, -234.8777]",0,0
55,"[35.56909, 1.387642, -225.287]",0,0
56,"[42.89848, 1.387641, -215.5211]",0,0
57,"[50.59995, 1.387633, -205.6059]",0,0
58,"[58.57953, 1.388815, -195.8078]",0,0
59,"[66.96002, 1.403419, -186.6576]",0,0
60,"[75.29517, 1.377711, -178.5116]",0,0
61,"[82.4166, 1.379611, -171.459]",0,0
62,"[88.66951, 1.363087, -164.8386]",0,0
63,"[93.70811, 1.368405, -158.2974]",0,0
