,Position,Arousal,Score
0,[-76.01342773   1.38738644  31.69707489],0,0.0
1,[-75.95265961   1.38736463  28.40146255],0,0.0
2,[-75.91036224   1.38764024  23.12650108],0,0.0
3,[-76.4216156    1.38842404   9.79109764],0,0.0
4,[-76.05287933   1.38764286  -4.67292738],0,0.0
5,[-75.26084137   1.38764274 -13.67611027],0,0.0
6,[-74.37071991   1.38808393 -22.32227707],0,0.0
7,[-72.85894012   1.38765669 -40.05290604],0,0.0
8,[-72.57205963   1.42740965 -49.04053879],0,0.0
9,[-72.84348297   1.37884223 -56.41862488],0,0.0
10,[-73.49488831   1.38939703 -62.37324142],0,0.0
11,[-74.7401123    1.38694787 -68.30672455],0,0.0
12,[-77.15992737   1.38658094 -74.80864716],0,0.0
13,[-80.82380676   1.3876462  -81.39740753],0,0.0
14,[-85.66153717   1.38940346 -87.93602753],0,0.0
15,[-91.57913971   1.38761401 -94.19490051],1,0.0
16,[-97.47592163   1.38854957 -99.46847534],1,0.0
17,[-110.20345306    1.38772774 -108.31500244],1,2.0
18,[-116.69127655    1.38743901 -112.43901825],1,2.0
19,[-122.95166779    1.38760853 -116.65137482],1,2.0
20,[-129.93275452    1.38771296 -121.87893677],1,2.0
21,[-136.490448     1.3881042 -127.1460495],1,2.0
22,[-142.49069214    1.38763428 -132.56848145],1,2.0
23,[-147.39286804    1.38421988 -137.86997986],1,2.0
24,[-150.90289307    1.38528216 -142.15209961],1,2.0
25,[-153.29690552    1.38806343 -145.7308197 ],1,2.0
26,[-154.78779602    1.39413631 -149.651474  ],1,2.0
27,[-155.46966553    1.38522327 -153.51600647],1,2.0
28,[-155.56419373    1.386935   -157.64004517],1,2.0
29,[-155.20278931    1.3858695  -161.78886414],1,1.0
30,[-154.44351196    1.38888407 -165.87452698],1,1.0
31,[-153.40007019    1.38722563 -169.77438354],1,1.0
32,[-151.75135803    1.38767624 -173.56913757],1,1.0
33,[-149.16900635    1.38824606 -177.80703735],1,1.0
34,[-145.62800598    1.38981926 -182.49028015],1,1.0
35,[-140.99720764    1.39003634 -187.49211121],1,1.0
36,[-128.67210388    1.38434672 -197.61367798],1,2.0
37,[-112.81596375    1.38930893 -206.85717773],1,1.0
38,[-104.96832275    1.38754356 -210.41970825],1,1.0
39,[ -98.53888702    1.38806653 -213.13703918],1,1.0
40,[ -93.18373871    1.38754392 -215.18841553],1,1.0
41,[ -80.8420639     1.38751936 -219.97355652],1,0.0
42,[ -73.78494263    1.38749528 -223.7000885 ],1,0.0
43,[ -66.64609528    1.3876977  -228.88702393],1,0.0
44,[ -53.07474518    1.40584517 -242.11639404],1,1.0
45,[ -47.53516769    1.3537389  -248.17196655],1,1.0
46,[ -42.69057083    1.37355173 -253.79231262],1,1.0
47,[ -38.2925415     1.36486053 -259.42605591],1,1.0
48,[ -31.03594017    1.36845624 -270.48599243],1,3.0
49,[ -28.52788734    1.43506265 -274.7951355 ],1,3.0
50,[ -26.62944031    1.42548156 -278.44976807],1,3.0
51,[ -24.85715866    1.40119863 -281.94360352],1,3.0
52,[ -22.00158691    1.37694037 -284.66888428],1,3.0
53,[ -18.9607029     1.39347351 -286.47271729],1,3.0
54,[ -16.24748039    1.38915467 -287.3263855 ],1,3.0
55,[ -12.77274132    1.38848794 -287.27935791],1,3.0
56,[  -8.95106888    1.38779449 -286.42294312],1,3.0
57,[  -5.85357571    1.3884536  -285.27203369],1,3.0
58,[  -3.34655285    1.3877877  -283.98873901],1,3.0
59,[   3.42587376    1.38844442 -278.77624512],1,2.0
60,[   7.9572978     1.3890245  -273.96313477],1,2.0
61,[  16.0377655     1.38724649 -262.99298096],1,1.0
62,[  19.78346252    1.38805509 -257.03134155],1,1.0
63,[  22.82456017    1.38811183 -252.14784241],1,1.0
64,[  26.08598518    1.38765168 -247.14659119],1,1.0
65,[  30.30254173    1.38765287 -240.99511719],1,1.0
66,[  35.23074341    1.41472507 -234.14265442],1,1.0
67,[  39.81192017    1.41564345 -227.99349976],1,1.0
68,[  43.80361557    1.39935124 -222.51480103],1,1.0
69,[  47.69430542    1.43173027 -216.92468262],1,1.0
70,[  51.59222031    1.39654684 -211.37718201],1,1.0
71,[  55.70230103    1.38857126 -205.33654785],1,1.0
72,[  59.6316452     1.38669634 -199.41572571],1,1.0
73,[  62.83431244    1.38798177 -194.57232666],1,1.0
74,[  65.48988342    1.38820171 -190.64245605],1,2.0
75,[  68.3727951     1.41967845 -186.44685364],1,2.0
76,[  71.28925323    1.39904892 -182.16281128],1,2.0
77,[  73.6350174     1.38526225 -178.71009827],1,2.0
78,[  75.74177551    1.36744225 -175.34216309],1,2.0
79,[  79.87792969    1.36769617 -168.69546509],1,3.0
80,[  82.32740021    1.36805844 -164.86413574],1,3.0
81,[  84.6679306     1.36790085 -160.49078369],1,3.0
82,[  86.54880524    1.3678596  -155.60800171],1,3.0
83,[  87.94308472    1.36787593 -150.31289673],1,3.0
84,[  88.88101196    1.36810815 -145.33110046],1,3.0
85,[  89.35471344    1.36786842 -140.6464386 ],1,3.0
86,[  89.47040558    1.41182888 -136.20869446],1,3.0
87,[  89.45999146    1.43407607 -132.13780212],1,3.0
88,[  88.55845642    1.39192379 -122.80021667],1,3.0
89,[  86.8849411     1.38551974 -116.94048309],1,3.0
90,[  83.58543396    1.38794422 -110.78382111],1,3.0
91,[  78.49280548    1.38782895 -104.74549103],1,3.0
92,[ 71.88253021   1.38763225 -98.94891357],1,3.0
93,[ 65.2071228    1.45272422 -93.85635376],1,3.0
94,[ 54.15880585   1.35687077 -85.91118622],1,1.0
95,[ 49.38218307   1.37000477 -82.61087799],1,1.0
96,[ 44.94311142   1.368855   -79.57042694],1,1.0
97,[ 40.76754379   1.36801338 -76.72766113],1,1.0
98,[ 36.87249374   1.4126761  -74.05049896],1,1.0
99,[ 32.86264801   1.39594829 -71.36676788],1,1.0
100,[ 29.28058243   1.38271022 -68.98097992],1,1.0
101,[ 25.57939529   1.39064991 -66.42864227],1,1.0
102,[ 21.06941032   1.38548005 -62.59975815],1,1.0
103,[ 16.3894558    1.40322888 -57.44261169],1,1.0
104,[ 11.71619034   1.53698063 -50.97129822],1,4.0
105,[  8.31009579   1.86583161 -44.10170364],1,4.0
106,[  7.62352753   2.69468689 -31.58772659],1,2.0
107,[  7.84351254   3.39366198 -24.45496941],1,2.0
108,[  7.96146059   4.21188021 -17.61090279],1,2.0
109,[  7.98343992   5.09581375 -11.29925346],1,2.0
110,[7.88297796 7.52975559 3.13286591],1,3.0
111,[ 8.02331066  8.70505714 10.66377544],1,3.0
112,[ 8.05432606  9.61400986 17.41915703],1,3.0
113,[ 8.24730492 10.28060532 23.4333477 ],1,3.0
114,[ 8.59663391 10.81742573 29.13204575],1,3.0
115,[ 8.72539616 11.17741013 34.34176254],1,3.0
116,[ 8.63685322 11.44323635 38.69837952],1,3.0
117,[ 8.43130398 11.62826729 42.55280304],1,3.0
118,[ 8.11988068 11.75361633 46.06438446],1,3.0
119,[ 7.68025923 11.84053516 50.03862762],1,4.0
120,[ 7.47713804 11.89139652 54.41927338],1,4.0
121,[ 7.60381603 11.91049767 59.04130936],1,4.0
122,[ 7.84130859 11.91367149 65.14076996],1,4.0
123,[ 7.85718393 11.91223335 72.66207886],1,4.0
124,[ 7.84000301 11.90936661 80.98130798],1,4.0
125,[ 8.42636108 11.90841579 90.01275635],1,4.0
126,[ 9.11883354 11.89049625 99.91523743],1,4.0
127,[  9.73996925  11.88737488 109.31947327],1,4.0
128,[ 11.07944679  11.88864708 127.89930725],1,1.0
129,[ 11.56521893  11.88717079 138.21357727],1,1.0
130,[ 11.7643919   11.88799858 147.93745422],1,1.0
131,[ 11.6718111   11.88766575 157.13511658],1,1.0
132,[ 11.18096256  11.8876543  167.20042419],1,1.0
133,[  9.98342705  11.7202816  185.88719177],1,0.0
134,[  9.26671696  11.3515501  194.21012878],1,4.0
135,[  8.32523251  10.85159588 201.79446411],1,4.0
136,[  7.50394821  10.14780617 209.39012146],1,4.0
137,[  7.53365183   9.24884605 217.05036926],1,4.0
138,[  7.66322851   8.07091236 225.01972961],1,4.0
139,[  7.82683754   6.83885956 232.41065979],1,4.0
140,[  8.02629757   5.60386562 239.6056366 ],1,4.0
141,[  8.2025938    4.52040815 246.87695312],1,4.0
142,[  8.37280178   3.74178481 252.97233582],1,4.0
143,[  8.50162315   3.05435467 259.31201172],1,4.0
144,[  8.67440605   2.47447371 265.75823975],1,4.0
145,[  9.12386608   2.03730536 271.98245239],1,4.0
146,[  9.8442688    1.70942008 278.11126709],1,4.0
147,[ 10.91238022   1.50287628 284.36395264],1,4.0
148,[ 12.51099873   1.39713407 291.83004761],1,4.0
149,[ 14.60700703   1.38738286 300.09225464],1,4.0
150,[ 16.72156334   1.38758123 307.95291138],1,4.0
151,[ 18.67334938   1.38766766 315.62893677],1,4.0
152,[ 22.22550583   1.38790989 330.8203125 ],1,0.0
153,[ 23.7295742    1.38681579 339.43521118],1,0.0
154,[ 24.84696388   1.38804591 347.78295898],1,0.0
155,[ 25.59717369   1.38769579 355.87457275],1,0.0
156,[ 26.07745934   1.38811827 363.79238892],1,0.0
