game,cluster,classifier,preference,score,baseline,metric
solid,0,False,True,0.16999409912741842,1.358659159687148e-33,ccc
solid,1,False,True,0.2064764818401034,-9.907578171415307e-34,ccc
solid,2,False,True,0.14398939109692516,3.100750930945555e-33,ccc
solid,3,False,True,0.0568674853414173,4.579510054955828e-34,ccc
solid,4,False,True,0.09032101618191463,-8.590635356034106e-34,ccc
fps,0,False,True,0.18741406290846552,7.043005432103905e-34,ccc
fps,1,False,True,0.12907275831690787,6.466637915869418e-33,ccc
fps,2,False,True,0.09334946538099856,-6.691883713656913e-33,ccc
fps,3,False,True,0.15107943040928395,5.038053270038231e-33,ccc
fps,4,False,True,0.24663377173656836,-7.958893754443006e-33,ccc
platform,0,False,True,0.1301463776267036,4.448772951478709e-35,ccc
platform,1,False,True,0.1439707063479893,-6.928255157539601e-34,ccc
platform,2,False,True,0.10097632036992854,2.3520225551881695e-34,ccc
platform,3,False,True,0.17676562467978635,-2.6037667893845636e-33,ccc
platform,4,False,True,0.01043760254180137,-7.581969191783976e-33,ccc
solid,0,False,False,0.20507051381278898,0.0,ccc
solid,1,False,False,0.28897835549250805,0.0,ccc
solid,2,False,False,0.7029471866780146,0.0,ccc
solid,3,False,False,0.19902293375725044,0.0,ccc
solid,4,False,False,0.13231845223079847,0.0,ccc
fps,0,False,False,0.2731794664505503,0.0,ccc
fps,1,False,False,0.2962355523213693,0.0,ccc
fps,2,False,False,0.3928935482991759,0.0,ccc
fps,3,False,False,0.5713028622319194,0.0,ccc
fps,4,False,False,0.30091329106418885,0.0,ccc
platform,0,False,False,0.12880115523921984,0.0,ccc
platform,1,False,False,0.13178343226731246,0.0,ccc
platform,2,False,False,0.06714786488607069,0.0,ccc
platform,3,False,False,0.25838531920265445,0.0,ccc
platform,4,False,False,0.09594146765456223,0.0,ccc
solid,0,True,True,0.6393327485809218,0.48135786797878755,accuracy
solid,1,True,True,0.7234448739438986,0.580425164691168,accuracy
solid,2,True,True,0.6880001496333982,0.6526066137961992,accuracy
solid,3,True,True,0.5691489813242784,0.4002875636672326,accuracy
solid,4,True,True,0.6192608098529151,0.568993738555142,accuracy
fps,0,True,True,0.7203402964249306,0.47932730375394944,accuracy
fps,1,True,True,0.600723567541124,0.5230320124747753,accuracy
fps,2,True,True,0.7115534596707694,0.5239631538557875,accuracy
fps,3,True,True,0.7906839826839827,0.5458701298701298,accuracy
fps,4,True,True,0.7515720590680626,0.5582653053382314,accuracy
platform,0,True,True,0.6359139009078115,0.45454690573664464,accuracy
platform,1,True,True,0.5897504956420903,0.4089567201586055,accuracy
platform,2,True,True,0.6547781726289189,0.5421337755666114,accuracy
platform,3,True,True,0.6228835537494637,0.5200203025228631,accuracy
platform,4,True,True,0.5612740636690419,0.48076647693740887,accuracy
solid,0,True,False,0.6744165425079545,0.5090448496006978,accuracy
solid,1,True,False,0.6729368794724432,0.4831172884218165,accuracy
solid,2,True,False,0.9362497547194856,0.5331359185899545,accuracy
solid,3,True,False,0.5275339884237448,0.45964958697122027,accuracy
solid,4,True,False,0.5332457062769752,0.4657466203624746,accuracy
fps,0,True,False,0.6931685248394349,0.5213150168352114,accuracy
fps,1,True,False,0.6591375430619999,0.5433444456731642,accuracy
fps,2,True,False,0.7391947115384616,0.4653063918663303,accuracy
fps,3,True,False,0.8575836908189849,0.5960570475276358,accuracy
fps,4,True,False,0.7164390791067291,0.47785688777989926,accuracy
platform,0,True,False,0.6412656662599925,0.5175479182918735,accuracy
platform,1,True,False,0.5744450956996225,0.47159992464047223,accuracy
platform,2,True,False,0.5555284031261353,0.5557383201030094,accuracy
platform,3,True,False,0.7086229138022396,0.4781233985407211,accuracy
platform,4,True,False,0.6004305890327167,0.5148976914338617,accuracy
