game,cluster,classifier,preference,score,baseline,metric
solid,0,False,True,0.08938542950227177,7.083978880845562e-34,ccc
solid,1,False,True,0.09773785169872114,3.516731898347996e-33,ccc
solid,2,False,True,0.01628170979013908,-2.3332504489479807e-34,ccc
solid,3,False,True,0.014337699674888165,2.5832243615578903e-33,ccc
solid,4,False,True,0.10584275494386444,-9.443842659068353e-33,ccc
fps,0,False,True,0.13968306639165712,1.455054700227565e-34,ccc
fps,1,False,True,0.07771457309358273,6.211322873744677e-33,ccc
fps,2,False,True,0.12136542970409721,-6.691883713656913e-33,ccc
fps,3,False,True,0.215176879715035,2.9168453039733447e-33,ccc
fps,4,False,True,0.291323408526632,-8.02284074819391e-33,ccc
platform,0,False,True,0.05712095118809537,3.0412857577504087e-34,ccc
platform,1,False,True,0.06723453486580243,-6.928255157539601e-34,ccc
platform,2,False,True,0.06013804453594559,4.776675731436222e-34,ccc
platform,3,False,True,0.06026962277930653,-1.0835036938997777e-33,ccc
platform,4,False,True,0.09729907377503795,-7.157797905879483e-33,ccc
solid,0,False,False,0.016430603156692442,-1.3238178806455895e-32,ccc
solid,1,False,False,0.011555978399799232,-2.7066337009086634e-33,ccc
solid,2,False,False,0.12090213999275308,1.1748166750818957e-32,ccc
solid,3,False,False,-0.009205979620667918,1.0139655605915682e-32,ccc
solid,4,False,False,0.00995539323499604,7.368575899463497e-33,ccc
fps,0,False,False,0.023221537746308984,4.248502326590078e-32,ccc
fps,1,False,False,0.045199168974656576,1.0059241413412632e-32,ccc
fps,2,False,False,0.026941289818206083,-9.862295971116262e-33,ccc
fps,3,False,False,0.10406473861452692,1.435902739850302e-32,ccc
fps,4,False,False,0.0910175709881014,-5.3186902746361514e-33,ccc
platform,0,False,False,0.06707548993094473,5.778702326266856e-32,ccc
platform,1,False,False,-0.0029772584048979593,3.4681964284746416e-32,ccc
platform,2,False,False,-0.03077688693431871,2.969543075995654e-32,ccc
platform,3,False,False,0.004876614414436621,-4.866174792405466e-33,ccc
platform,4,False,False,0.00874076474399901,-1.8179081093604778e-32,ccc
solid,0,True,True,0.5790915727756597,0.48135786797878755,accuracy
solid,1,True,True,0.5817266673427307,0.580425164691168,accuracy
solid,2,True,True,0.4314246969923687,0.6526066137961992,accuracy
solid,3,True,True,0.5727758913412563,0.4002875636672326,accuracy
solid,4,True,True,0.5801634030362101,0.568993738555142,accuracy
fps,0,True,True,0.7143039500387339,0.47932730375394944,accuracy
fps,1,True,True,0.5570071240750932,0.5230320124747753,accuracy
fps,2,True,True,0.7236040685548841,0.5239631538557875,accuracy
fps,3,True,True,0.787948051948052,0.5458701298701298,accuracy
fps,4,True,True,0.7316149222593757,0.5582653053382314,accuracy
platform,0,True,True,0.6042767220982361,0.45454690573664464,accuracy
platform,1,True,True,0.5593708150974451,0.4089567201586055,accuracy
platform,2,True,True,0.5895243149332702,0.5421337755666114,accuracy
platform,3,True,True,0.5550424131083058,0.5200203025228631,accuracy
platform,4,True,True,0.5279005896726805,0.48076647693740887,accuracy
solid,0,True,False,0.5310399836084767,0.5090448496006978,accuracy
solid,1,True,False,0.5742088890967629,0.4831172884218165,accuracy
solid,2,True,False,0.4758166759007566,0.5331359185899545,accuracy
solid,3,True,False,0.5202197508057116,0.45964958697122027,accuracy
solid,4,True,False,0.47369270979592415,0.4657466203624746,accuracy
fps,0,True,False,0.5440017373620283,0.5213150168352114,accuracy
fps,1,True,False,0.5492077618734308,0.5433444456731642,accuracy
fps,2,True,False,0.5235206494325346,0.4653063918663303,accuracy
fps,3,True,False,0.5982304297010179,0.5960570475276358,accuracy
fps,4,True,False,0.5337812994165357,0.47785688777989926,accuracy
platform,0,True,False,0.518772115236086,0.5175479182918735,accuracy
platform,1,True,False,0.5077965711414876,0.47159992464047223,accuracy
platform,2,True,False,0.5631460097726355,0.5557383201030094,accuracy
platform,3,True,False,0.5011491431897258,0.4781233985407211,accuracy
platform,4,True,False,0.5290242504540378,0.5148976914338617,accuracy
