game,cluster,classifier,preference,score,baseline,metric
solid,0,False,True,0.011681989912056333,1.358659159687148e-33,ccc
solid,1,False,True,0.008711612601848127,-9.907578171415307e-34,ccc
solid,2,False,True,0.007837391672814735,3.100750930945555e-33,ccc
solid,3,False,True,0.11222374541044218,4.579510054955828e-34,ccc
solid,4,False,True,0.004964412626987103,-8.590635356034106e-34,ccc
fps,0,False,True,0.018194978792518118,7.043005432103905e-34,ccc
fps,1,False,True,0.09281985673413344,6.466637915869418e-33,ccc
fps,2,False,True,0.009560392196023598,-6.691883713656913e-33,ccc
fps,3,False,True,0.12016043700082898,5.038053270038231e-33,ccc
fps,4,False,True,0.024716395455082495,-7.958893754443006e-33,ccc
platform,0,False,True,0.009229526461197827,4.448772951478709e-35,ccc
platform,1,False,True,0.11370364885597536,-6.928255157539601e-34,ccc
platform,2,False,True,0.011947899328858664,2.3520225551881695e-34,ccc
platform,3,False,True,0.01539205190197714,-2.6037667893845636e-33,ccc
platform,4,False,True,-0.03113802035385414,-7.581969191783976e-33,ccc
solid,0,False,False,0.32919520073664377,0.0,ccc
solid,1,False,False,0.18132355384065652,0.0,ccc
solid,2,False,False,0.7396736837908462,0.0,ccc
solid,3,False,False,0.019754243070345755,0.0,ccc
solid,4,False,False,0.09373799075537546,0.0,ccc
fps,0,False,False,0.43874757956144156,0.0,ccc
fps,1,False,False,0.20305950293164593,0.0,ccc
fps,2,False,False,0.43963850389516634,0.0,ccc
fps,3,False,False,0.3906006341430562,0.0,ccc
fps,4,False,False,0.3839810838490144,0.0,ccc
platform,0,False,False,0.24415814564778343,0.0,ccc
platform,1,False,False,0.014315658837588462,0.0,ccc
platform,2,False,False,0.05885847246981211,0.0,ccc
platform,3,False,False,0.37660809555020197,0.0,ccc
platform,4,False,False,0.06921591125439085,0.0,ccc
solid,0,True,True,0.6499053888746621,0.48135786797878755,accuracy
solid,1,True,True,0.7394861814515888,0.580425164691168,accuracy
solid,2,True,True,0.6782296498578482,0.6526066137961992,accuracy
solid,3,True,True,0.5656398556876061,0.4002875636672326,accuracy
solid,4,True,True,0.5992082373442023,0.568993738555142,accuracy
fps,0,True,True,0.7263540136583668,0.47932730375394944,accuracy
fps,1,True,True,0.5950247660979636,0.5230320124747753,accuracy
fps,2,True,True,0.7148122950814987,0.5239631538557875,accuracy
fps,3,True,True,0.7985454545454546,0.5458701298701298,accuracy
fps,4,True,True,0.7582461863287728,0.5582653053382314,accuracy
platform,0,True,True,0.6355113028599724,0.45454690573664464,accuracy
platform,1,True,True,0.6119784535966782,0.4089567201586055,accuracy
platform,2,True,True,0.6491836057806206,0.5421337755666114,accuracy
platform,3,True,True,0.6119399686274047,0.5200203025228631,accuracy
platform,4,True,True,0.5449390899173613,0.48076647693740887,accuracy
solid,0,True,False,0.6824706313181024,0.5090448496006978,accuracy
solid,1,True,False,0.6883263392912794,0.4831172884218165,accuracy
solid,2,True,False,0.9380435127632436,0.5331359185899545,accuracy
solid,3,True,False,0.5290737912777358,0.45964958697122027,accuracy
solid,4,True,False,0.5462371118996959,0.4657466203624746,accuracy
fps,0,True,False,0.7115640160814393,0.5213150168352114,accuracy
fps,1,True,False,0.6620234103101036,0.5433444456731642,accuracy
fps,2,True,False,0.7285894151954603,0.4653063918663303,accuracy
fps,3,True,False,0.855366757425581,0.5960570475276358,accuracy
fps,4,True,False,0.7305301195700321,0.47785688777989926,accuracy
platform,0,True,False,0.638541781081883,0.5175479182918735,accuracy
platform,1,True,False,0.5694591558337345,0.47159992464047223,accuracy
platform,2,True,False,0.5608448333060998,0.5557383201030094,accuracy
platform,3,True,False,0.6965977998604117,0.4781233985407211,accuracy
platform,4,True,False,0.6070414937308554,0.5148976914338617,accuracy
