model,signal,prediction,task,weight,n_runs,score_mean,score_ci,arousal_mean,arousal_ci,scores_raw,arousal_raw
PPO,Raw,Classification,Maximize,0.5,5,19.8,4.9976,0.6667,0.0813,"[23.0, 20.0, 14.0, 18.0, 24.0]","[0.6956521739130435, 0.65, 0.5714285714285714, 0.6666666666666666, 0.75]"
PPO,Raw,Classification,Maximize,1.0,5,8.6,11.6346,0.414,0.4706,"[6.0, 0.0, 18.0, 19.0, 0.0]","[0.6666666666666666, 0, 0.6666666666666666, 0.7368421052631579, 0]"
PPO,Raw,Classification,Minimize,0.0,5,17.4,9.5212,0.4514,0.3953,"[24.0, 22.0, 6.0, 13.0, 22.0]","[0.25, 0.2727272727272727, 1.0, 0.46153846153846156, 0.2727272727272727]"
PPO,Raw,Classification,Minimize,0.5,5,12.0,12.0063,0.4593,0.4691,"[0.0, 11.0, 6.0, 24.0, 19.0]","[0, 0.6363636363636364, 1.0, 0.2916666666666667, 0.3684210526315789]"
PPO,Raw,Classification,Minimize,1.0,5,3.6,3.1166,0.7667,0.5396,"[0.0, 3.0, 6.0, 6.0, 3.0]","[0, 1.0, 0.8333333333333334, 1.0, 1.0]"
PPO,Raw,Regression,Maximize,0.0,5,16.6,5.7974,0.2427,0.0519,"[14.0, 14.0, 12.0, 20.0, 23.0]","[0.18119419897652217, 0.23898644817867393, 0.23109204767194266, 0.28829229740695944, 0.2739080014719587]"
PPO,Raw,Regression,Maximize,0.5,5,15.0,11.1404,0.2177,0.0849,"[14.0, 25.0, 1.0, 20.0, 15.0]","[0.18285033017661836, 0.2808955368738621, 0.14356763363815847, 0.2995211540315197, 0.18166880333595808]"
PPO,Raw,Regression,Maximize,1.0,5,12.8,8.4852,0.247,0.0528,"[4.0, 11.0, 23.0, 14.0, 12.0]","[0.1802495955418595, 0.2870884916014997, 0.26698656639390167, 0.23116039819217152, 0.26973187585215663]"
PPO,Raw,Regression,Minimize,0.5,5,15.4,11.5682,0.2172,0.1549,"[24.0, 19.0, 20.0, 0.0, 14.0]","[0.24085087707089434, 0.28862177389137483, 0.2468062426636389, 0, 0.3095771968081623]"
PPO,Raw,Regression,Minimize,1.0,5,18.0,5.3406,0.2544,0.0354,"[23.0, 12.0, 21.0, 16.0, 18.0]","[0.24465415259044854, 0.28333677608378827, 0.21537503366102342, 0.2817341939042348, 0.2471446532552027]"
PPO,Ordinal,Classification,Maximize,0.5,5,16.4,5.9935,0.6771,0.278,"[14.0, 21.0, 22.0, 11.0, 14.0]","[0.8571428571428571, 0.47619047619047616, 0.9545454545454546, 0.45454545454545453, 0.6428571428571429]"
PPO,Ordinal,Classification,Maximize,1.0,5,11.2,7.2081,0.5597,0.2646,"[15.0, 17.0, 4.0, 14.0, 6.0]","[0.7333333333333333, 0.5294117647058824, 0.25, 0.7857142857142857, 0.5]"
PPO,Ordinal,Classification,Minimize,0.0,5,12.2,9.2252,0.5076,0.4305,"[6.0, 6.0, 11.0, 14.0, 24.0]","[0.3333333333333333, 0.6666666666666666, 0.45454545454545453, 1.0, 0.08333333333333333]"
PPO,Ordinal,Classification,Minimize,0.5,5,14.0,5.5529,0.3682,0.2107,"[22.0, 12.0, 12.0, 12.0, 12.0]","[0.09090909090909091, 0.3333333333333333, 0.5, 0.4166666666666667, 0.5]"
PPO,Ordinal,Classification,Minimize,1.0,5,10.2,2.9644,0.5788,0.1423,"[12.0, 11.0, 6.0, 11.0, 11.0]","[0.5, 0.5454545454545454, 0.6666666666666666, 0.7272727272727273, 0.45454545454545453]"
