model,signal,prediction,task,weight,n_runs,score_mean,score_ci,behavior_mean,behavior_ci,arousal_mean,arousal_ci,arousal_return_mean,arousal_return_ci,final_position_mean,final_position_ci,off_road_mean,off_road_ci,speed_mean,speed_ci,distance_to_cars_mean,distance_to_cars_ci,gas_pedal_mean,gas_pedal_ci,steering_mean,steering_ci,scores_raw,arousal_raw,frequency,cluster,game
random,Ordinal,Classification,Imitate,0.0,10,0.2000000029802322,0.3016,0.0028,0.0048,0.0091,0.0137,0.9025,0.0465,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.045454545454545456, 0.0, 0.0, 0.0, 0.045454545454545456, 0.0]",Synchronized,1,Solid
DQN,Ordinal,Classification,Imitate,0.0,9,19.555599212646484,5.1436,0.8584,0.2273,0.3081,0.1,0.7806,0.0438,1.666700005531311,1.0169,0.6167,0.1249,38.0527,9.9464,17.5035,5.2567,[0.01944444 0.20555556 0.8       ],[0.025  0.0705 0.0706],[0.05       0.89444444 0.08055556],[0.0408 0.1047 0.1011],"[2.0, 23.0, 22.0, 21.0, 19.0, 22.0, 23.0, 22.0, 22.0]","[0.0, 0.3181818181818182, 0.2727272727272727, 0.36363636363636365, 0.45454545454545453, 0.4090909090909091, 0.2727272727272727, 0.3181818181818182, 0.36363636363636365]",Synchronized,1,Solid
DQN,Ordinal,Classification,Imitate,0.5,9,13.777799606323242,5.6847,0.5709,0.242,0.303,0.1272,0.7306,0.0869,3.3333001136779785,1.0169,0.7139,0.0751,29.3201,9.5339,30.9148,7.1696,[0.05       0.40277778 0.57222222],[0.0719 0.2108 0.2299],[0.10555556 0.91666667 0.00277778],[0.1144 0.1129 0.0064],"[12.0, 20.0, 14.0, 22.0, 7.0, 22.0, 0.0, 10.0, 17.0]","[0.2727272727272727, 0.3181818181818182, 0.22727272727272727, 0.5454545454545454, 0.2727272727272727, 0.45454545454545453, 0.0, 0.18181818181818182, 0.45454545454545453]",Synchronized,1,Solid
DQN,Ordinal,Classification,Imitate,1.0,9,6.7778000831604,1.0006,0.2984,0.0445,0.2929,0.0254,0.8556,0.1007,4.0,0.0,0.8306,0.0755,18.1566,2.7474,24.4177,9.9485,[0.175      0.54166667 0.30833333],[0.1769 0.1153 0.1141],[0.05277778 0.78333333 0.18888889],[0.1217 0.1833 0.179 ],"[8.0, 6.0, 6.0, 7.0, 9.0, 6.0, 8.0, 5.0, 6.0]","[0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.3181818181818182, 0.3181818181818182, 0.2727272727272727, 0.36363636363636365, 0.2727272727272727, 0.2727272727272727]",Synchronized,1,Solid
random,Ordinal,Classification,Imitate,0.0,10,0.1000000014901161,0.2262,0.0006,0.0013,0.005,0.0113,0.7375,0.0696,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0]",Synchronized,2,Solid
DQN,Ordinal,Classification,Imitate,0.0,10,9.300000190734863,6.1542,0.4471,0.3032,0.115,0.1012,0.42,0.1359,3.9760000705718994,0.0543,0.74,0.1506,21.8016,9.635,23.9618,8.6049,[0.165 0.435 0.425],[0.1722 0.1791 0.2195],[0.155  0.8275 0.0425],[0.1754 0.2015 0.073 ],"[20.0, 20.0, 6.0, 6.0, 19.0, 17.0, 2.0, 2.0, 1.0, 0.0]","[0.4, 0.25, 0.05, 0.0, 0.15, 0.25, 0.05, 0.0, 0.0, 0.0]",Synchronized,2,Solid
DQN,Ordinal,Classification,Imitate,0.5,10,7.0,5.7723,0.3262,0.2779,0.16,0.1562,0.43,0.1764,3.9000000953674316,0.2262,0.7,0.205,16.4981,9.5864,30.7475,12.5821,[0.235 0.505 0.285],[0.2564 0.2704 0.2577],[0.195 0.78  0.05 ],[0.2154 0.2147 0.0892],"[10.0, 20.0, 0.0, 0.0, 19.0, 14.0, 1.0, 4.0, 1.0, 1.0]","[0.1, 0.45, 0.0, 0.0, 0.65, 0.2, 0.05, 0.05, 0.05, 0.05]",Synchronized,2,Solid
DQN,Ordinal,Classification,Imitate,1.0,10,3.4000000953674316,1.4776,0.1274,0.0558,0.115,0.056,0.67,0.1253,4.0,0.0,0.8575,0.1231,10.9473,3.0406,12.4091,2.2571,[0.1225 0.59   0.3125],[0.1693 0.2278 0.2417],[0.005  0.7025 0.3175],[0.0075 0.1058 0.1057],"[4.0, 4.0, 6.0, 6.0, 4.0, 4.0, 1.0, 4.0, 1.0, 0.0]","[0.15, 0.2, 0.1, 0.2, 0.15, 0.2, 0.0, 0.1, 0.05, 0.0]",Synchronized,2,Solid
random,Ordinal,Classification,Imitate,0.0,10,0.2000000029802322,0.3016,0.006,0.0091,0.0,0.0,0.115,0.0369,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Synchronized,3,Solid
DQN,Ordinal,Classification,Imitate,0.0,10,8.0,2.0788,0.6214,0.1252,0.3273,0.0979,0.52,0.125,4.0,0.0,0.6975,0.1869,17.8453,4.1524,23.842,6.0666,[0.0725 0.5475 0.405 ],[0.0562 0.101  0.13  ],[0.075 0.895 0.055],[0.0674 0.0851 0.0785],"[4.0, 11.0, 7.0, 6.0, 6.0, 6.0, 6.0, 12.0, 11.0, 11.0]","[0.18181818181818182, 0.2727272727272727, 0.36363636363636365, 0.2727272727272727, 0.45454545454545453, 0.2727272727272727, 0.18181818181818182, 0.36363636363636365, 0.2727272727272727, 0.6363636363636364]",Synchronized,3,Solid
