model,signal,prediction,task,weight,n_runs,score_mean,score_ci,behavior_mean,behavior_ci,arousal_mean,arousal_ci,arousal_return_mean,arousal_return_ci,scores_raw,arousal_raw,frequency,cluster,game
DQN,Ordinal,Classification,Maximize,0.0,8,0.3641,0.0776,14.875,3.236,0.1781,0.048,0.7344,0.0651,"[0.41304347826086957, 0.4782608695652174, 0.32608695652173914, 0.32608695652173914, 0.43478260869565216, 0.3695652173913043, 0.391304347826087, 0.17391304347826086]","[0.25, 0.25, 0.1, 0.2, 0.125, 0.175, 0.2, 0.125]",Synchronized,0,platform
PPO,Ordinal,Classification,Maximize,0.0,10,0.4522,0.0439,15.6,3.54,0.19,0.05,0.775,0.0791,"[0.3695652173913043, 0.391304347826087, 0.45652173913043476, 0.43478260869565216, 0.4782608695652174, 0.5652173913043478, 0.391304347826087, 0.43478260869565216, 0.4782608695652174, 0.5217391304347826]","[0.175, 0.15, 0.225, 0.225, 0.25, 0.25, 0.2, 0.15, 0.25, 0.025]",Synchronized,0,platform
Explore,Ordinal,Classification,Imitate,0.0,4,0.7913,0.1793,0.6202,0.437,0.4474,0.1994,,,,,0.1707,0.0617,23.8227,3.0914,,,,[nan nan nan],,[nan nan nan],[0.875," 0.831944465637207"," 0.8333333333333334"," 0.625]",[0.5263157894736842," 0.3157894736842105"," 0.5789473684210527"," 0.3684210526315789]",Synchronized,1,solid
Explore,Ordinal,Classification,Imitate,0.5,4,0.7777,0.0827,0.7998,0.2902,0.7632,0.2861,,,,,0.171,0.088,24.2899,2.4494,,,,[nan nan nan],,[nan nan nan],[0.7916666666666666," 0.7083333333333334"," 0.8333333333333334"," 0.7774999936421713]",[0.7368421052631579," 0.5263157894736842"," 0.9473684210526315"," 0.8421052631578947]",Synchronized,1,solid
Explore,Ordinal,Classification,Imitate,1.0,4,0.753,0.0849,0.7274,0.2234,0.7763,0.2501,,,,,0.1617,0.0586,24.9876,2.1383,,,,[nan nan nan],,[nan nan nan],[0.7916666666666666," 0.6786111195882162"," 0.7916666666666666"," 0.75]",[1.0," 0.631578947368421"," 0.7368421052631579"," 0.7368421052631579]",Synchronized,1,solid
Explore,Ordinal,Classification,Imitate,0.0,4,0.756,0.1245,0.8012,0.2063,0.5,0.3651,,,,,0.1161,0.0713,25.596,3.7181,,,,[nan nan nan],,[nan nan nan],[0.75," 0.8574999968210856"," 0.75"," 0.6666666666666666]",[0.5789473684210527," 0.7894736842105263"," 0.3157894736842105"," 0.3157894736842105]",Synchronized,2,solid
Explore,Ordinal,Classification,Imitate,0.5,4,0.7428,0.0379,0.6989,0.1756,0.6842,0.1809,,,,,0.1553,0.0308,23.5883,1.4073,,,,[nan nan nan],,[nan nan nan],[0.7630555629730225," 0.7083333333333334"," 0.75"," 0.75]",[0.5263157894736842," 0.6842105263157895"," 0.7368421052631579"," 0.7894736842105263]",Synchronized,2,solid
Explore,Ordinal,Classification,Imitate,1.0,4,0.7917,0.121,0.7819,0.2686,0.8947,0.2901,,,,,0.1503,0.0937,24.2586,1.8293,,,,[nan nan nan],,[nan nan nan],[0.875," 0.75"," 0.7083333333333334"," 0.8333333333333334]",[1.0526315789473684," 0.9473684210526315"," 0.631578947368421"," 0.9473684210526315]",Synchronized,2,solid
Explore,Ordinal,Classification,Imitate,0.0,4,0.5851,0.0544,0.552,0.0448,0.2763,0.1054,,,,,0.1921,0.0897,21.8605,2.3089,,,,[nan nan nan],,[nan nan nan],[0.5905555884043375," 0.625"," 0.5416666666666666"," 0.5833333333333334]",[0.2631578947368421," 0.2631578947368421"," 0.21052631578947367"," 0.3684210526315789]",Synchronized,3,solid
Explore,Ordinal,Classification,Imitate,0.5,4,0.5729,0.0995,0.4953,0.1154,0.3947,0.1451,,,,,0.2144,0.0838,20.9669,1.7154,,,,[nan nan nan],,[nan nan nan],[0.5," 0.625"," 0.5416666666666666"," 0.625]",[0.3157894736842105," 0.47368421052631576"," 0.3157894736842105"," 0.47368421052631576]",Synchronized,3,solid
Explore,Ordinal,Classification,Imitate,1.0,4,0.8331,0.0536,0.5005,0.0325,0.5526,0.0484,,,,,0.1465,0.1222,24.1151,1.3178,,,,[nan nan nan],,[nan nan nan],[0.8333333333333334," 0.8333333333333334"," 0.7916666666666666"," 0.87416672706604]",[0.5789473684210527," 0.5263157894736842"," 0.5263157894736842"," 0.5789473684210527]",Synchronized,3,solid
Explore,Ordinal,Classification,Imitate,0.0,4,0.7265,0.1312,0.7363,0.1801,0.3816,0.0419,,,,,0.1802,0.0935,23.0739,2.3061,,,,[nan nan nan],,[nan nan nan],[0.75," 0.625"," 0.8224999904632568"," 0.7083333333333334]",[0.42105263157894735," 0.3684210526315789"," 0.3684210526315789"," 0.3684210526315789]",Synchronized,4,solid
Explore,Ordinal,Classification,Imitate,0.5,4,0.7165,0.0172,0.7319,0.1801,0.5789,0.2981,,,,,0.1351,0.117,24.9389,4.5341,,,,[nan nan nan],,[nan nan nan],[0.7183333237965902," 0.7311111291249593"," 0.7083333333333334"," 0.7083333333333334]",[0.47368421052631576," 0.7368421052631579"," 0.3684210526315789"," 0.7368421052631579]",Synchronized,4,solid
Explore,Ordinal,Classification,Imitate,1.0,4,0.7292,0.1148,0.6789,0.3727,0.6711,0.3578,,,,,0.1175,0.0417,24.4992,0.6135,,,,[nan nan nan],,[nan nan nan],[0.7916666666666666," 0.75"," 0.75"," 0.625]",[0.8421052631578947," 0.631578947368421"," 0.8421052631578947"," 0.3684210526315789]",Synchronized,4,solid
