model,signal,prediction,task,weight,n_runs,score_mean,score_ci,behavior_mean,behavior_ci,arousal_mean,arousal_ci,arousal_return_mean,arousal_return_ci,final_position_mean,final_position_ci,lap_time_mean,lap_time_ci,off_road_mean,off_road_ci,speed_mean,speed_ci,distance_to_cars_mean,distance_to_cars_ci,gas_pedal_mean,gas_pedal_ci,steering_mean,steering_ci,scores_raw,arousal_raw,final_position_raw,lap_time_raw,off_road_raw,distance_to_cars_raw,trace_sim_playerStanding_mean,trace_sim_playerScore_mean,trace_sim_playerSpeed_mean,trace_sim_playerIsGrounded_mean,trace_sim_playerIsMidAir_mean,trace_sim_playerIsLooping_mean,trace_sim_playerIsCrashing_mean,trace_sim_playerIsOffRoad_mean,trace_sim_playerGasPedal_mean,trace_sim_playerSteering_mean,trace_sim_playerLap_mean,trace_sim_playerDistanceToWayPoint_mean,trace_sim_playerRespawn_mean,trace_sim_visibleBotCount_mean,trace_sim_botStanding_mean,trace_sim_botScore_mean,trace_sim_botSpeed_mean,trace_sim_botIsGrounded_mean,trace_sim_botIsLooping_mean,trace_sim_botIsOffRoad_mean,trace_sim_botIsCrashing_mean,trace_sim_botGasPedal_mean,trace_sim_botSteering_mean,trace_sim_botLap_mean,trace_sim_botDistanceToWayPoint_mean,trace_sim_botPlayerDistance_mean,trace_sim_visibleLoopCount_mean,trace_sim_playerStanding_ci,trace_sim_playerScore_ci,trace_sim_playerSpeed_ci,trace_sim_playerIsGrounded_ci,trace_sim_playerIsMidAir_ci,trace_sim_playerIsLooping_ci,trace_sim_playerIsCrashing_ci,trace_sim_playerIsOffRoad_ci,trace_sim_playerGasPedal_ci,trace_sim_playerSteering_ci,trace_sim_playerLap_ci,trace_sim_playerDistanceToWayPoint_ci,trace_sim_playerRespawn_ci,trace_sim_visibleBotCount_ci,trace_sim_botStanding_ci,trace_sim_botScore_ci,trace_sim_botSpeed_ci,trace_sim_botIsGrounded_ci,trace_sim_botIsLooping_ci,trace_sim_botIsOffRoad_ci,trace_sim_botIsCrashing_ci,trace_sim_botGasPedal_ci,trace_sim_botSteering_ci,trace_sim_botLap_ci,trace_sim_botDistanceToWayPoint_ci,trace_sim_botPlayerDistance_ci,trace_sim_visibleLoopCount_ci,sim_playerScore_mean,sim_playerScore_ci,sim_arousal_mean,sim_arousal_ci,sim_playerSpeed_mean,sim_playerIsOffRoad_mean,sim_botPlayerDistance_mean,sim_playerStanding_mean,sim_playerSpeed_ci,sim_playerIsOffRoad_ci,sim_botPlayerDistance_ci,sim_playerStanding_ci,frequency,cluster,game
Explore,Ordinal,Classification,Imitate,0.0,10,21.5,0.8431,0.886,0.0478,0.4864,0.0308,0.1992,0.0322,3.3,0.7578,3.25,0.1273,0.2796,0.0309,34.543,1.1001,1.3744,0.7953,[0.        0.0258471 1.       ],[0.     0.0003 0.    ],[0.69260495 0.0258471  0.30739505],[0.0344 0.0003 0.0344],"[20.0, 21.0, 22.0, 22.0, 23.0, 23.0, 22.0, 22.0, 20.0, 20.0]","[0.5, 0.5454545454545454, 0.5, 0.4090909090909091, 0.45454545454545453, 0.45454545454545453, 0.5, 0.45454545454545453, 0.5454545454545454, 0.5]","[4.0, 3.0, 4.0, 2.0, 4.0, 1.0, 4.0, 4.0, 3.0, 4.0]","[3.4, 3.4, 3.2, 3.3, 3.0, 3.0, 3.1, 3.2, 3.4, 3.5]","[0.31122807570193944, 0.3015000076731667, 0.27016667476855216, 0.28850000514648855, 0.21716667339205742, 0.22550000583287327, 0.23283333834260703, 0.27966667134314777, 0.33666667323559524, 0.3331623986745492]","[0.3966613872631176, 0.3831994178967598, 1.5882529658130091, 1.0307166238116403, 2.9857810485057343, 2.8217800580538235, 2.8611993740766475, 0.8463369646642962, 0.4152663043421558, 0.414350598318535]",0.6663,0.9603,0.8423,0.9592,0.9067,0.9148,0.7978,0.8011,0.8378,0.8278,0.9495,0.8663,0.9343,0.7716,0.792,0.7481,0.7663,0.7412,0.9437,0.8803,0.8728,0.7492,0.8635,0.7704,0.7901,0.821,0.7486,0.0543,0.0171,0.0143,0.0015,0.0201,0.0121,0.0014,0.0138,0.0093,0.0235,0.0188,0.0087,0.0061,0.0176,0.0191,0.0344,0.0276,0.0212,0.0108,0.0117,0.0014,0.0328,0.0236,0.0351,0.0286,0.0504,0.0365,0.9107,0.0222,0.6918,0.0059,0.8376,0.7995,0.8203,0.666,0.0187,0.0154,0.0509,0.0544,Synchronized,1,Solid
Explore,Ordinal,Classification,Imitate,0.0,10,20.0,0.0,0.9063,0.0211,0.585,0.0535,0.6021,0.0611,3.6,0.5002,3.27,0.1351,0.3021,0.0364,32.8331,0.8472,1.2299,0.5416,[0.         0.02619938 1.        ],[0.     0.0006 0.    ],[0.69591221 0.02619938 0.30408779],[0.0498 0.0006 0.0498],"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[0.5, 0.6, 0.5, 0.75, 0.65, 0.6, 0.6, 0.55, 0.55, 0.55]","[4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 2.0, 4.0, 4.0]","[3.3, 3.2, 3.3, 3.1, 3.1, 3.0, 3.2, 3.4000000000000004, 3.5, 3.6]","[0.27000000472180546, 0.32512821085177934, 0.23566667288541793, 0.2718918973932395, 0.3220000071451068, 0.23700000680983066, 0.29483333937823775, 0.31929825265940864, 0.34456141155801323, 0.4001666745170951]","[0.32976434169671476, 1.326960715912936, 1.63707950461624, 1.7213478335627803, 2.2935346163236177, 2.1077177341167745, 1.5059735159588674, 0.7671868667946206, 0.18793627592894407, 0.4216197690393171]",0.7957,0.9711,0.8444,0.9537,0.8761,0.9119,0.8312,0.8004,0.8189,0.8453,0.9476,0.8673,0.8921,0.7359,0.7369,0.6842,0.7116,0.6971,0.9419,0.8942,0.861,0.6974,0.8637,0.7517,0.7483,0.8041,0.7703,0.0361,0.0116,0.0122,0.0027,0.0292,0.011,0.0005,0.0178,0.0078,0.0152,0.0075,0.0139,0.0033,0.0251,0.0197,0.0489,0.0248,0.023,0.0043,0.0179,0.0019,0.0258,0.0104,0.0384,0.0227,0.0662,0.0146,0.8974,0.0196,0.758,0.0161,0.8418,0.7996,0.8053,0.7959,0.0123,0.0195,0.0654,0.0365,Synchronized,2,Solid
Explore,Ordinal,Classification,Imitate,0.0,9,12.7778,1.6205,0.9677,0.0099,0.2929,0.091,0.6226,0.0742,3.8889,0.2562,4.9556,0.1494,0.4977,0.045,25.8926,1.5688,1.3501,0.3037,[0.         0.02641419 1.        ],[0.     0.0014 0.    ],[0.64169103 0.02641419 0.35830897],[0.0686 0.0014 0.0686],"[11.0, 15.0, 11.0, 11.0, 11.0, 11.0, 15.0, 15.0, 15.0]","[0.09090909090909091, 0.2727272727272727, 0.45454545454545453, 0.36363636363636365, 0.45454545454545453, 0.18181818181818182, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0]","[5.0, 5.2, 5.0, 5.0, 4.8, 4.8, 5.0, 5.2, 4.6]","[0.5696969763799147, 0.39025641481081647, 0.5321666719391942, 0.5733333397656679, 0.4710000056773424, 0.5100000055506826, 0.46153846765175843, 0.46000000583007933, 0.5116666721180081]","[1.3066098590691884, 1.70733744638008, 1.2651327214689336, 0.6990668802179842, 1.2319980254540077, 1.3709069374280098, 0.9236618368249191, 1.972728018475394, 1.673031386350974]",0.9524,0.9115,0.8493,0.9251,0.8002,0.9078,0.7214,0.7273,0.8778,0.8371,0.8726,0.8362,0.8007,0.8559,0.8748,0.8667,0.8307,0.8268,0.9503,0.9257,0.8332,0.8417,0.8891,0.8798,0.8687,0.8707,0.7563,0.0267,0.0087,0.0131,0.0021,0.0377,0.0138,0.0014,0.0183,0.012,0.0117,0.0135,0.0116,0.0043,0.0207,0.0223,0.0174,0.0202,0.0279,0.0101,0.0138,0.0004,0.0235,0.015,0.0194,0.0148,0.0076,0.0128,0.9631,0.013,0.7134,0.0086,0.8555,0.7336,0.8662,0.9536,0.0185,0.02,0.0119,0.0271,Synchronized,3,Solid
Explore,Ordinal,Classification,Imitate,0.0,10,17.0,0.0,0.9418,0.0232,0.4706,0.0344,0.2176,0.0296,3.8,0.3016,3.35,0.0908,0.3507,0.0347,31.5607,0.4612,1.146,0.5233,[0.         0.02663926 1.        ],[0.     0.0008 0.    ],[0.64389654 0.0294964  0.35324632],[0.0465 0.007  0.0465],"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0]","[0.5294117647058824, 0.47058823529411764, 0.47058823529411764, 0.5294117647058824, 0.4117647058823529, 0.47058823529411764, 0.47058823529411764, 0.4117647058823529, 0.5294117647058824, 0.4117647058823529]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 4.0]","[3.3, 3.4, 3.5, 3.2, 3.3, 3.4, 3.3, 3.6, 3.3, 3.2]","[0.3846666717901826, 0.3955000093206763, 0.28070175961444255, 0.31315790033458096, 0.3042592667043209, 0.3425926019748052, 0.3270085538044954, 0.42266667261719704, 0.40752137356843704, 0.3290000058710575]","[1.6338937270335663, 0.28551514780419507, 0.2398287008474539, 1.5895881755931958, 1.3364641334896996, 0.8910188620431082, 0.9388727840624358, 0.5225561908167652, 1.3824162324269613, 2.6394448144058895]",0.9162,0.9463,0.8571,0.9478,0.8533,0.9165,0.7671,0.7751,0.8415,0.856,0.9299,0.8502,0.816,0.8104,0.8082,0.7734,0.7735,0.7724,0.9342,0.8925,0.8703,0.7812,0.8709,0.8109,0.8283,0.8338,0.7623,0.0142,0.0125,0.0068,0.0027,0.0278,0.013,0.0008,0.011,0.0087,0.014,0.0105,0.0066,0.0029,0.0134,0.0099,0.0605,0.0206,0.0105,0.0114,0.026,0.003,0.0142,0.0174,0.0426,0.0152,0.033,0.0156,0.9211,0.021,0.692,0.0054,0.8563,0.7871,0.835,0.9187,0.0058,0.0161,0.0296,0.0147,Synchronized,4,Solid
Explore,Ordinal,Classification,Imitate,0.5,10,19.9,1.2367,0.8035,0.0679,0.7727,0.0485,0.2168,0.0428,3.7,0.3456,3.47,0.1721,0.3163,0.0246,32.4462,1.1708,1.0082,0.3975,[0.         0.02577598 1.        ],[0.     0.0002 0.    ],[0.65958165 0.02577598 0.34041835],[0.0345 0.0002 0.0345],"[22.0, 20.0, 17.0, 22.0, 21.0, 20.0, 20.0, 20.0, 20.0, 17.0]","[0.9090909090909091, 0.7272727272727273, 0.7272727272727273, 0.7727272727272727, 0.8636363636363636, 0.7727272727272727, 0.7727272727272727, 0.7272727272727273, 0.6818181818181818, 0.7727272727272727]","[4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0]","[3.2, 3.5, 3.9, 3.0999999999999996, 3.3, 3.4, 3.5999999999999996, 3.5999999999999996, 3.4, 3.7]","[0.25500000510364773, 0.3051666751271114, 0.34376069043691343, 0.3113333391956985, 0.30166667364537714, 0.2966666739434004, 0.33516667392104865, 0.35000000726431607, 0.373500007763505, 0.2907692333444571]","[1.5529341037456805, 1.496285536350348, 0.3908390296132941, 1.956816423856295, 1.1522912000998473, 0.9427387530987079, 0.40016978989299545, 0.6117790303678594, 0.3925622369489099, 1.1858153083868195]",0.6325,0.936,0.8177,0.9569,0.898,0.9108,0.7978,0.7838,0.8196,0.8203,0.9214,0.8589,0.9344,0.7883,0.8022,0.7327,0.7645,0.752,0.9463,0.8851,0.8731,0.7517,0.8737,0.7642,0.7838,0.8291,0.7304,0.0225,0.0213,0.0144,0.0038,0.0182,0.0094,0.0014,0.0107,0.0118,0.0135,0.029,0.0075,0.0063,0.0196,0.0191,0.0188,0.0227,0.0213,0.0048,0.0115,0.0009,0.0248,0.0136,0.0285,0.0167,0.0476,0.0213,0.8873,0.0218,0.6955,0.0101,0.8173,0.7833,0.8257,0.6323,0.0144,0.011,0.0446,0.0222,Synchronized,1,Solid
Explore,Ordinal,Classification,Imitate,0.5,10,20.0,0.0,0.9006,0.019,0.91,0.0406,0.5366,0.0642,3.2533,0.5664,3.33,0.0895,0.2923,0.0259,32.9975,0.6529,0.9931,0.3518,[0.         0.02606078 1.        ],[0.     0.0005 0.    ],[0.65158326 0.03125646 0.34322106],[0.0339 0.0078 0.0398],"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[0.9, 0.95, 0.9, 0.95, 0.9, 0.85, 0.95, 0.9, 1.0, 0.8]","[3.5333333015441895, 3.0, 3.0, 3.0, 2.0, 4.0, 4.0, 4.0, 2.0, 4.0]","[3.4, 3.4, 3.6, 3.2, 3.2, 3.3, 3.3, 3.2, 3.3, 3.4]","[0.26850000470876695, 0.3315000060712919, 0.3345000069588423, 0.2882882940608102, 0.2723333392292261, 0.2742105314606114, 0.28050000555813315, 0.35850000809878113, 0.24666667096316813, 0.26837607492239046]","[0.3828263372437567, 1.4555466138399564, 0.5420304746709318, 1.3607195165422228, 1.4696546375242054, 1.6264516546919539, 0.5315383307954185, 1.079800853566227, 0.3695011937720144, 1.1125359752721953]",0.8217,0.9719,0.8484,0.9523,0.8827,0.9096,0.8311,0.8004,0.8201,0.839,0.9454,0.8717,0.8915,0.737,0.7461,0.6464,0.7168,0.7058,0.9373,0.8847,0.8615,0.7018,0.8648,0.7216,0.75,0.818,0.7653,0.0459,0.0114,0.0091,0.0024,0.0238,0.0138,0.0004,0.0133,0.0102,0.0151,0.0091,0.0116,0.0034,0.0161,0.0165,0.017,0.0258,0.0175,0.0084,0.0161,0.0018,0.0243,0.0101,0.0103,0.0237,0.0662,0.0211,0.8953,0.0151,0.7586,0.0123,0.8464,0.8034,0.8151,0.8216,0.0083,0.0141,0.0647,0.0458,Synchronized,2,Solid
Explore,Ordinal,Classification,Imitate,0.5,9,11.8889,1.3558,0.9569,0.0183,0.8586,0.0708,0.5887,0.0473,4.0,0.0,4.8,0.2306,0.4912,0.0498,25.356,1.4993,1.0982,0.2972,[0.         0.02638395 1.        ],[0.     0.0012 0.    ],[0.61090664 0.02638395 0.38909336],[0.0378 0.0012 0.0378],"[15.0, 11.0, 11.0, 11.0, 15.0, 11.0, 11.0, 11.0, 11.0]","[1.0, 0.7272727272727273, 1.0, 0.8181818181818182, 0.8181818181818182, 0.9090909090909091, 0.8181818181818182, 0.8181818181818182, 0.8181818181818182]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[4.6, 4.6, 4.8, 4.8, 5.0, 4.2, 5.0, 5.2, 5.0]","[0.35384615902335215, 0.5020000085234642, 0.531623940055187, 0.46983333956450224, 0.5022222292251312, 0.42980393022298813, 0.5293333405628801, 0.5466666758060456, 0.5555000055581332]","[1.248544831024973, 0.7519351225632888, 0.7995819225645902, 0.9223954404521192, 0.8887927189207914, 0.8186724479752358, 1.6118096636910724, 1.8327016675574148, 1.009713823367388]",0.9659,0.902,0.8409,0.9255,0.7852,0.901,0.7216,0.7376,0.8771,0.8354,0.8547,0.8376,0.8008,0.866,0.8851,0.8846,0.8526,0.8427,0.9495,0.9264,0.8334,0.8538,0.8981,0.8999,0.8769,0.8813,0.7558,0.0108,0.0188,0.011,0.0025,0.0309,0.0175,0.0012,0.0144,0.0114,0.0158,0.0213,0.0123,0.0055,0.0157,0.0205,0.0207,0.0168,0.0198,0.0104,0.0132,0.0009,0.018,0.01,0.0159,0.0116,0.0156,0.0142,0.9682,0.01,0.7149,0.0116,0.8466,0.7453,0.8707,0.967,0.0139,0.0194,0.0203,0.0112,Synchronized,3,Solid
Explore,Ordinal,Classification,Imitate,0.5,10,16.8,0.4524,0.8885,0.0539,0.7765,0.0435,0.1957,0.0401,3.6,0.3694,3.74,0.3308,0.3703,0.0306,30.4991,1.0645,0.7182,0.3575,[0.         0.02619938 1.        ],[0.     0.0006 0.    ],[0.6364102  0.02619938 0.3635898 ],[0.0378 0.0006 0.0378],"[17.0, 17.0, 17.0, 17.0, 15.0, 17.0, 17.0, 17.0, 17.0, 17.0]","[0.7647058823529411, 0.8235294117647058, 0.7647058823529411, 0.8823529411764706, 0.7647058823529411, 0.6470588235294118, 0.8235294117647058, 0.7647058823529411, 0.7647058823529411, 0.7647058823529411]","[4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0, 4.0]","[3.7, 3.5999999999999996, 3.4, 3.7, 5.0, 3.4, 3.6, 3.7, 3.8, 3.5]","[0.33466667402535677, 0.3570000061765313, 0.32820513519721156, 0.36576577114897807, 0.45500000696629284, 0.3083333412185311, 0.3820000061765313, 0.40315790062672213, 0.3666666732414773, 0.4021666718646884]","[0.4377495887951973, 0.6687490658882337, 0.3365351693672046, 1.178695860615483, 1.4529073112031334, 0.7091970989846775, 0.23371832920954777, 0.22334002073820647, 0.39500516255696616, 1.5456556238679804]",0.9084,0.964,0.8556,0.948,0.846,0.9118,0.7676,0.7706,0.8278,0.8349,0.9463,0.853,0.8167,0.8019,0.7979,0.7427,0.762,0.7589,0.9381,0.8689,0.8719,0.7612,0.8842,0.7844,0.8145,0.8168,0.7656,0.0172,0.0179,0.0105,0.002,0.0204,0.0088,0.0006,0.0148,0.0077,0.0139,0.0131,0.0098,0.0014,0.018,0.0131,0.0604,0.0151,0.0212,0.0049,0.0183,0.0022,0.0151,0.0127,0.0417,0.0074,0.0335,0.0231,0.8924,0.0253,0.6869,0.0081,0.8564,0.7791,0.8191,0.9096,0.0104,0.0156,0.0321,0.0169,Synchronized,4,Solid
Explore,Ordinal,Classification,Imitate,1.0,10,20.1,0.7873,0.807,0.0506,0.9,0.0299,0.2237,0.0442,3.7,0.3456,3.49,0.1409,0.3122,0.0369,32.7893,0.9386,1.1161,0.3955,[0.        0.0257085 1.       ],[0.     0.0002 0.    ],[0.66855601 0.0282726  0.32887989],[0.0421 0.0058 0.0397],"[19.0, 19.0, 22.0, 21.0, 20.0, 19.0, 21.0, 19.0, 21.0, 20.0]","[0.8636363636363636, 0.8636363636363636, 0.9090909090909091, 0.9545454545454546, 0.9090909090909091, 0.8636363636363636, 0.9545454545454546, 0.8636363636363636, 0.9545454545454546, 0.8636363636363636]","[4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0]","[3.7, 3.7, 3.3, 3.3, 3.4000000000000004, 3.7, 3.4000000000000004, 3.7, 3.2, 3.5]","[0.35521368013742644, 0.35000000763684513, 0.24633333906531335, 0.2681666735559702, 0.34516666901763526, 0.34316667150706054, 0.22683333698660135, 0.38166667278856037, 0.30183333940804, 0.30333333779126403]","[0.3903044299075478, 1.3214443695850862, 1.6320071505685139, 1.2997294336302667, 1.5661448584662543, 0.3357838842603895, 0.3810754710792476, 1.029096713840452, 1.7598732891245785, 1.4456538094414606]",0.6302,0.9329,0.8143,0.9588,0.9078,0.9142,0.7973,0.782,0.8218,0.8187,0.9208,0.8578,0.9323,0.8035,0.8185,0.7481,0.7853,0.7735,0.943,0.8898,0.8733,0.7834,0.8654,0.7791,0.8063,0.8331,0.7269,0.0093,0.0183,0.0145,0.0018,0.0151,0.0105,0.0011,0.0183,0.0085,0.0138,0.022,0.0068,0.0047,0.0296,0.0258,0.0174,0.0287,0.0305,0.0063,0.0148,0.0006,0.0352,0.0141,0.0243,0.0275,0.0489,0.0179,0.8855,0.019,0.7028,0.0073,0.814,0.7827,0.8337,0.6301,0.0144,0.0178,0.0482,0.0094,Synchronized,1,Solid
Explore,Ordinal,Classification,Imitate,1.0,10,20.6,0.9049,0.8982,0.0322,0.97,0.025,0.5721,0.0532,3.5,0.5058,3.29,0.195,0.302,0.0422,34.0841,1.6239,1.2533,0.7588,[0.         0.02577598 1.        ],[0.     0.0002 0.    ],[0.66214575 0.02577598 0.33785425],[0.0364 0.0002 0.0364],"[22.0, 20.0, 19.0, 20.0, 22.0, 20.0, 20.0, 20.0, 20.0, 23.0]","[0.95, 0.95, 0.95, 0.95, 1.0, 1.0, 1.0, 1.0, 0.9, 1.0]","[2.0, 4.0, 3.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 3.0]","[3.2, 3.4000000000000004, 3.8, 3.2, 3.0, 3.0999999999999996, 3.5, 3.6, 3.0999999999999996, 3.0]","[0.31200000531971456, 0.311000005248934, 0.3868333391845226, 0.36883333772420884, 0.23500000704079865, 0.24816667307168244, 0.33533333986997604, 0.3408547057173191, 0.27283333777450025, 0.2088888937082046]","[1.2040294182606233, 0.23366808361477323, 0.35617025978544836, 1.1358616559933394, 1.7125064580868452, 2.482997165582119, 0.3131439975184253, 0.2643555524056418, 1.4194143979977338, 3.4104298056217663]",0.7764,0.9609,0.8565,0.9525,0.8976,0.9093,0.8308,0.792,0.8315,0.825,0.9411,0.8692,0.8904,0.7397,0.7507,0.7036,0.7211,0.7062,0.9373,0.8981,0.8624,0.7119,0.8494,0.7647,0.7608,0.7754,0.7718,0.0182,0.0108,0.017,0.0027,0.0088,0.0122,0.0,0.0166,0.0083,0.0166,0.0091,0.0109,0.0023,0.0304,0.0245,0.0618,0.0348,0.0244,0.0086,0.0184,0.0009,0.036,0.0154,0.0404,0.0306,0.0775,0.0201,0.9027,0.0226,0.7512,0.0187,0.8576,0.7945,0.7732,0.7764,0.0187,0.0192,0.0772,0.0182,Synchronized,2,Solid
