model,signal,prediction,task,weight,n_runs,score_mean,score_ci,arousal_mean,arousal_ci,scores_raw,arousal_raw,frequency
Random,Ordinal,Classification,Minimize,0.0,5,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized
Random,Ordinal,Classification,Maximize,0.0,5,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized
Random,Ordinal,Regression,Minimize,0.0,5,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized
Random,Ordinal,Regression,Maximize,0.0,5,0.2,0.5553,0.0671,0.1864,"[0.0, 0.0, 0.0, 1.0, 0.0]","[0, 0, 0, 0.3356940935832668, 0]",Synchronized
Random,Raw,Classification,Minimize,0.0,5,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized
Random,Raw,Classification,Maximize,0.0,5,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized
Random,Raw,Regression,Minimize,0.0,5,0.2,0.5553,0.0644,0.1789,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.32208992268113606, 0, 0, 0, 0]",Synchronized
Random,Raw,Regression,Maximize,0.0,5,0.2,0.5553,0.0406,0.1126,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0, 0, 0, 0, 0.2028122612560703]",Synchronized
PPO,Ordinal,Classification,Minimize,0.0,5,13.8,8.3478,0.5245,0.3782,"[4.0, 20.0, 11.0, 14.0, 20.0]","[0.5, 0.25, 0.2727272727272727, 1.0, 0.6]",Synchronized
PPO,Ordinal,Classification,Maximize,0.0,5,14.8,7.9699,0.5764,0.417,"[14.0, 20.0, 12.0, 6.0, 22.0]","[0.5714285714285714, 0.75, 0.8333333333333334, 0.0, 0.7272727272727273]",Synchronized
PPO,Ordinal,Regression,Minimize,0.0,5,14.8,7.9699,0.2735,0.0465,"[12.0, 20.0, 6.0, 14.0, 22.0]","[0.2889996326224895, 0.24792265920858414, 0.32431744964396647, 0.278872669076598, 0.2275764455403098]",Synchronized
PPO,Ordinal,Regression,Maximize,0.0,5,18.2,5.1495,0.2705,0.0415,"[17.0, 18.0, 22.0, 12.0, 22.0]","[0.25529366256172703, 0.2824412723362911, 0.30156429056628525, 0.2195888695466444, 0.293480080276342]",Synchronized
PPO,Raw,Classification,Minimize,0.0,5,16.0,8.9538,0.6129,0.4525,"[22.0, 6.0, 24.0, 14.0, 14.0]","[0.2727272727272727, 1.0, 0.2916666666666667, 1.0, 0.5]",Synchronized
PPO,Raw,Classification,Maximize,0.0,5,13.6,11.2985,0.3288,0.4723,"[4.0, 6.0, 24.0, 12.0, 22.0]","[0.0, 0.16666666666666666, 0.75, 0.0, 0.7272727272727273]",Synchronized
PPO,Raw,Regression,Minimize,0.0,5,14.8,7.9699,0.283,0.0748,"[12.0, 20.0, 6.0, 14.0, 22.0]","[0.2676077019386429, 0.23415649092458707, 0.359753146613948, 0.33132299365099255, 0.2223819142715967]",Synchronized
PPO,Raw,Regression,Maximize,0.0,5,14.8,7.9699,0.2267,0.0793,"[12.0, 20.0, 6.0, 14.0, 22.0]","[0.1979847339368438, 0.29799794193370166, 0.1618110486321772, 0.18331570430947466, 0.2922903800327237]",Synchronized
DQN,Ordinal,Classification,Minimize,0.0,5,15.0,12.3544,0.5028,0.415,"[6.0, 6.0, 24.0, 12.0, 27.0]","[0.6666666666666666, 1.0, 0.20833333333333334, 0.4166666666666667, 0.2222222222222222]",Synchronized
DQN,Ordinal,Classification,Maximize,0.0,5,15.2,11.8252,0.4596,0.4486,"[6.0, 6.0, 25.0, 14.0, 25.0]","[0.16666666666666666, 0.0, 0.84, 0.5714285714285714, 0.72]",Synchronized
DQN,Ordinal,Regression,Minimize,0.0,5,17.4,12.9515,0.2513,0.0348,"[6.0, 6.0, 24.0, 26.0, 25.0]","[0.23984706676802423, 0.3002859191970762, 0.2321363707322679, 0.2483038743451222, 0.23616941263075503]",Synchronized
DQN,Ordinal,Regression,Maximize,0.0,5,16.4,12.2479,0.2741,0.05,"[6.0, 6.0, 25.0, 19.0, 26.0]","[0.27019641144026624, 0.21204598681563858, 0.31171823250167074, 0.2680692529185996, 0.3084623403550707]",Synchronized
DQN,Raw,Classification,Minimize,0.0,5,18.0,13.6017,0.5308,0.5322,"[6.0, 6.0, 26.0, 26.0, 26.0]","[1.0, 1.0, 0.23076923076923078, 0.23076923076923078, 0.19230769230769232]",Synchronized
DQN,Raw,Classification,Maximize,0.0,5,18.0,13.7146,0.452,0.5167,"[6.0, 6.0, 26.0, 24.0, 28.0]","[0.0, 0.0, 0.8076923076923077, 0.6666666666666666, 0.7857142857142857]",Synchronized
DQN,Raw,Regression,Minimize,0.0,5,18.0,13.6017,0.2726,0.0932,"[6.0, 6.0, 26.0, 26.0, 26.0]","[0.32262511828493157, 0.3796632681081002, 0.20652471658236418, 0.2330450635202802, 0.22107421591153573]",Synchronized
DQN,Raw,Regression,Maximize,0.0,5,16.4,12.2479,0.2255,0.075,"[6.0, 6.0, 25.0, 19.0, 26.0]","[0.1882119493501899, 0.152133337290861, 0.29946590386620825, 0.21511686257845095, 0.2727379303380576]",Synchronized
