model,signal,prediction,task,weight,n_runs,score_mean,score_ci,arousal_mean,arousal_ci,scores_raw,arousal_raw,frequency,cluster,game
DQN,Ordinal,Classification,Imitate,0,6,0.5576,0.3634,0.2652,0.158,"[0.25371212121212117, 0.8460606060606062, 0.842651515151515, 0.8378787878787878, 0.5206060606060606, 0.04492424242424242]","[0.18181818181818182, 0.36363636363636365, 0.3181818181818182, 0.4090909090909091, 0.3181818181818182, 0.0]",Synchronized,1,solid
DQN,Ordinal,Classification,Imitate,0,5,0.7922,0.3719,0.23,0.1789,"[0.9351666666666665, 0.9115, 0.9246666666666667, 0.2566666666666667, 0.9332499999999999]","[0.35, 0.2, 0.35, 0.0, 0.25]",Synchronized,2,solid
DQN,Ordinal,Classification,Imitate,0,10,0.7291,0.1339,0.3,0.087,"[0.34393939393939393, 0.7977272727272726, 0.8943939393939394, 0.8137878787878787, 0.7999999999999999, 0.4954545454545455, 0.586969696969697, 0.8371212121212122, 0.8348484848484848, 0.8868181818181818]","[0.18181818181818182, 0.36363636363636365, 0.36363636363636365, 0.5454545454545454, 0.2727272727272727, 0.2727272727272727, 0.09090909090909091, 0.2727272727272727, 0.36363636363636365, 0.2727272727272727]",Synchronized,3,solid
DQN,Ordinal,Classification,Imitate,0,8,0.726,0.2406,0.3456,0.1299,"[0.9062745098039215, 0.3033333333333333, 0.9541176470588236, 0.7736274509803921, 0.2706862745098039, 0.9374509803921567, 0.9725490196078432, 0.6897058823529413]","[0.4117647058823529, 0.11764705882352941, 0.4117647058823529, 0.5294117647058824, 0.11764705882352941, 0.47058823529411764, 0.4117647058823529, 0.29411764705882354]",Synchronized,4,solid
DQN,Ordinal,Classification,Imitate,0.5,6,0.5237,0.1469,0.2576,0.0493,"[0.5096212121212121, 0.6293181818181818, 0.5839393939393939, 0.26371212121212123, 0.5086363636363637, 0.6471212121212121]","[0.18181818181818182, 0.3181818181818182, 0.2727272727272727, 0.2727272727272727, 0.22727272727272727, 0.2727272727272727]",Synchronized,1,solid
DQN,Ordinal,Classification,Imitate,0.5,5,0.3683,0.6085,0.17,0.2964,"[0.03208333333333333, 0.92425, 0.0, 0.0, 0.8853333333333333]","[0.0, 0.35, 0.0, 0.0, 0.5]",Synchronized,2,solid
DQN,Ordinal,Classification,Imitate,0.5,10,0.6178,0.2099,0.3455,0.1782,"[0.5107575757575756, 0.0, 0.5103030303030303, 0.5277272727272728, 0.8453030303030302, 0.34439393939393936, 0.8465151515151516, 0.8818181818181817, 0.8706060606060606, 0.8401515151515152]","[0.2727272727272727, 0.0, 0.2727272727272727, 0.2727272727272727, 0.7272727272727273, 0.09090909090909091, 0.5454545454545454, 0.18181818181818182, 0.36363636363636365, 0.7272727272727273]",Synchronized,3,solid
DQN,Ordinal,Classification,Imitate,0.5,8,0.8382,0.0545,0.4191,0.0487,"[0.7874509803921569, 0.8132352941176471, 0.8093137254901961, 0.9138235294117647, 0.8129411764705883, 0.7913725490196079, 0.810686274509804, 0.9664705882352941]","[0.35294117647058826, 0.47058823529411764, 0.4117647058823529, 0.4117647058823529, 0.4117647058823529, 0.35294117647058826, 0.4117647058823529, 0.5294117647058824]",Synchronized,4,solid
DQN,Ordinal,Classification,Imitate,1,6,0.3026,0.0702,0.2803,0.0469,"[0.35234848484848486, 0.2568181818181818, 0.2381818181818182, 0.3425757575757576, 0.3897727272727273, 0.23568181818181821]","[0.2727272727272727, 0.22727272727272727, 0.2727272727272727, 0.36363636363636365, 0.2727272727272727, 0.2727272727272727]",Synchronized,1,solid
DQN,Ordinal,Classification,Imitate,1,5,0.1705,0.0628,0.17,0.034,"[0.12141666666666666, 0.1710833333333333, 0.2500833333333333, 0.17725, 0.13266666666666665]","[0.15, 0.2, 0.15, 0.15, 0.2]",Synchronized,2,solid
DQN,Ordinal,Classification,Imitate,1,10,0.4,0.1266,0.3,0.1019,"[0.0, 0.4756060606060606, 0.25499999999999995, 0.5218181818181818, 0.4887878787878788, 0.5103030303030303, 0.23984848484848484, 0.5257575757575758, 0.45863636363636373, 0.5245454545454545]","[0.0, 0.36363636363636365, 0.2727272727272727, 0.2727272727272727, 0.45454545454545453, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.5454545454545454, 0.2727272727272727]",Synchronized,3,solid
DQN,Ordinal,Classification,Imitate,1,8,0.3524,0.1614,0.3309,0.1462,"[0.0, 0.22568627450980394, 0.4973529411764706, 0.48960784313725497, 0.17254901960784316, 0.5001960784313726, 0.4800980392156863, 0.45343137254901955]","[0.0, 0.23529411764705882, 0.4117647058823529, 0.47058823529411764, 0.17647058823529413, 0.47058823529411764, 0.47058823529411764, 0.4117647058823529]",Synchronized,4,solid
PPO,Ordinal,Classification,Imitate,0,10,0.6721,0.1736,0.3,0.0935,"[0.8362121212121211, 0.7324242424242424, 0.8388636363636363, 0.2684848484848485, 0.7475, 0.8424999999999998, 0.8120454545454545, 0.19431818181818183, 0.6222727272727272, 0.8268181818181819]","[0.36363636363636365, 0.5, 0.45454545454545453, 0.045454545454545456, 0.3181818181818182, 0.2727272727272727, 0.3181818181818182, 0.18181818181818182, 0.22727272727272727, 0.3181818181818182]",Synchronized,1,solid
PPO,Ordinal,Classification,Imitate,0,9,0.5057,0.2013,0.0611,0.0876,"[0.4058333333333334, 0.5415000000000001, 0.29474999999999996, 0.29225, 0.9077499999999998, 0.9239166666666667, 0.2921666666666667, 0.6175833333333334, 0.27566666666666667]","[0.05, 0.0, 0.0, 0.05, 0.35, 0.1, 0.0, 0.0, 0.0]",Synchronized,2,solid
PPO,Ordinal,Classification,Imitate,0,10,0.5735,0.1916,0.2636,0.1205,"[0.815, 0.5275757575757575, 0.5280303030303031, 0.8746969696969699, 0.0, 0.8037878787878788, 0.5162121212121212, 0.8036363636363636, 0.5186363636363637, 0.3478787878787879]","[0.2727272727272727, 0.09090909090909091, 0.18181818181818182, 0.45454545454545453, 0.0, 0.45454545454545453, 0.2727272727272727, 0.45454545454545453, 0.36363636363636365, 0.09090909090909091]",Synchronized,3,solid
PPO,Ordinal,Classification,Imitate,0,10,0.627,0.2151,0.3529,0.0627,"[0.7736274509803921, 0.4093137254901961, 0.9540196078431373, 0.10941176470588238, 0.9337254901960785, 0.37578431372549015, 0.7454901960784313, 0.6609803921568629, 0.9670588235294119, 0.34098039215686277]","[0.4117647058823529, 0.29411764705882354, 0.4117647058823529, 0.17647058823529413, 0.4117647058823529, 0.29411764705882354, 0.47058823529411764, 0.35294117647058826, 0.4117647058823529, 0.29411764705882354]",Synchronized,4,solid
PPO,Ordinal,Classification,Imitate,0.5,10,0.3292,0.1616,0.1682,0.0826,"[0.23424242424242425, 0.0, 0.796969696969697, 0.5181818181818182, 0.2518939393939394, 0.24348484848484853, 0.1793939393939394, 0.26628787878787874, 0.26401515151515154, 0.5377272727272726]","[0.22727272727272727, 0.0, 0.4090909090909091, 0.18181818181818182, 0.22727272727272727, 0.22727272727272727, 0.045454545454545456, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635]",Synchronized,1,solid
PPO,Ordinal,Classification,Imitate,0.5,8,0.408,0.1923,0.0875,0.1576,"[0.5139166666666668, 0.29225, 0.6134166666666666, 0.29474999999999996, 0.8514166666666666, 0.2529166666666667, 0.19633333333333333, 0.24933333333333332]","[0.05, 0.0, 0.05, 0.0, 0.55, 0.05, 0.0, 0.0]",Synchronized,2,solid
PPO,Ordinal,Classification,Imitate,0.5,10,0.5273,0.1341,0.2091,0.0814,"[0.4921212121212121, 0.3465151515151515, 0.8168181818181818, 0.884090909090909, 0.5336363636363637, 0.5174242424242425, 0.4968181818181819, 0.3487878787878788, 0.5033333333333333, 0.333030303030303]","[0.18181818181818182, 0.0, 0.2727272727272727, 0.36363636363636365, 0.2727272727272727, 0.2727272727272727, 0.2727272727272727, 0.09090909090909091, 0.2727272727272727, 0.09090909090909091]",Synchronized,3,solid
PPO,Ordinal,Classification,Imitate,0.5,10,0.5854,0.1986,0.3118,0.0993,"[0.34352941176470586, 0.9719607843137255, 0.3325490196078431, 0.7789215686274511, 0.3432352941176471, 0.967156862745098, 0.8466666666666667, 0.5707843137254902, 0.3496078431372549, 0.34931372549019607]","[0.23529411764705882, 0.4117647058823529, 0.11764705882352941, 0.4117647058823529, 0.17647058823529413, 0.4117647058823529, 0.5294117647058824, 0.4117647058823529, 0.17647058823529413, 0.23529411764705882]",Synchronized,4,solid
PPO,Ordinal,Classification,Imitate,1,10,0.2133,0.0735,0.1955,0.072,"[0.17083333333333334, 0.26166666666666666, 0.21818181818181823, 0.3751515151515152, 0.13234848484848485, 0.0890909090909091, 0.17765151515151514, 0.37075757575757573, 0.08931818181818181, 0.24765151515151518]","[0.18181818181818182, 0.2727272727272727, 0.22727272727272727, 0.36363636363636365, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.2727272727272727, 0.09090909090909091, 0.2727272727272727]",Synchronized,1,solid
PPO,Ordinal,Classification,Imitate,1,9,0.1018,0.0886,0.0667,0.0608,"[0.007583333333333331, 0.18483333333333335, 0.0, 0.0, 0.26725, 0.2693333333333333, 0.13733333333333334, 0.04958333333333333, 0.0]","[0.05, 0.15, 0.0, 0.0, 0.2, 0.15, 0.05, 0.0, 0.0]",Synchronized,2,solid
