model,signal,prediction,task,weight,n_runs,score_mean,score_ci,behavior_mean,behavior_ci,arousal_mean,arousal_ci,arousal_return_mean,arousal_return_ci,final_position_mean,final_position_ci,off_road_mean,off_road_ci,speed_mean,speed_ci,distance_to_cars_mean,distance_to_cars_ci,gas_pedal_mean,gas_pedal_ci,steering_mean,steering_ci,scores_raw,arousal_raw,frequency,cluster,game,lap_time_mean,lap_time_ci
random,Ordinal,Classification,Imitate,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.1125,0.0389,4.0,0.0,0.9275,0.039,7.4743,0.5695,28.4829,4.0958,[0.005 1.02  0.   ],[0.0075 0.0075 0.    ],[0.    1.02  0.005],[0.     0.0113 0.0113],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Synchronized,1,Solid,,
random,Ordinal,Classification,Imitate,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.3425,0.0876,4.0,0.0,0.925,0.0477,8.2815,0.7152,31.949,4.5029,[0.0025 1.0225 0.    ],[0.0057 0.0057 0.    ],[0.    1.025 0.   ],[0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Synchronized,2,Solid,,
random,Ordinal,Classification,Imitate,0.0,10,0.1,0.2262,0.0026,0.006,0.0,0.0,0.925,0.0207,4.0,0.0,0.8975,0.0587,7.9628,0.7828,28.8722,4.2498,[0.    1.025 0.   ],[0. 0. 0.],[0.    1.025 0.   ],[0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Synchronized,3,Solid,,
random,Ordinal,Classification,Imitate,0.0,10,0.1,0.2262,0.0016,0.0035,0.0059,0.0133,0.175,0.054,4.0,0.0,0.94,0.0282,7.4386,0.7631,30.663,4.4194,[0.005 1.02  0.   ],[0.0075 0.0075 0.    ],[0.    1.025 0.   ],[0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.0, 0.0, 0.0, 0.0, 0.0]",Synchronized,4,Solid,,
random,Ordinal,Classification,Imitate,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.1125,0.0389,4.0,0.0,0.9275,0.039,7.4743,0.5695,28.4829,4.0958,[0.005 1.02  0.   ],[0.0075 0.0075 0.    ],[0.    1.02  0.005],[0.     0.0113 0.0113],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Synchronized,1,Solid,,
random,Ordinal,Classification,Imitate,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.3425,0.0876,4.0,0.0,0.925,0.0477,8.2815,0.7152,31.949,4.5029,[0.0025 1.0225 0.    ],[0.0057 0.0057 0.    ],[0.    1.025 0.   ],[0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Synchronized,2,Solid,,
random,Ordinal,Classification,Imitate,0.0,10,0.1,0.2262,0.0026,0.006,0.0,0.0,0.925,0.0207,4.0,0.0,0.8975,0.0587,7.9628,0.7828,28.8722,4.2498,[0.    1.025 0.   ],[0. 0. 0.],[0.    1.025 0.   ],[0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Synchronized,3,Solid,,
random,Ordinal,Classification,Imitate,0.0,10,0.1,0.2262,0.0016,0.0035,0.0059,0.0133,0.175,0.054,4.0,0.0,0.94,0.0282,7.4386,0.7631,30.663,4.4194,[0.005 1.02  0.   ],[0.0075 0.0075 0.    ],[0.    1.025 0.   ],[0. 0. 0.],"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.0, 0.0, 0.0, 0.0, 0.0]",Synchronized,4,Solid,,
DQN,Ordinal,Classification,Imitate,0.0,9,15.3333,5.3255,0.6857,0.2353,0.298,0.099,0.2472,0.0741,2.6667,1.2154,0.7361,0.0912,30.8541,8.867,23.3844,7.5591,[0.05277778 0.29722222 0.675     ],[0.0893 0.1626 0.1552],[0.06666667 0.84166667 0.11666667],[0.0843 0.12   0.0932],"[6.0, 14.0, 22.0, 22.0, 22.0, 6.0, 14.0, 22.0, 10.0]","[0.13636363636363635, 0.22727272727272727, 0.4090909090909091, 0.4090909090909091, 0.36363636363636365, 0.13636363636363635, 0.2727272727272727, 0.5, 0.22727272727272727]",Synchronized,1,Solid,,
DQN,Ordinal,Classification,Imitate,0.0,10,11.0,6.8366,0.5305,0.332,0.125,0.1001,0.6175,0.0969,3.6,0.6911,0.74,0.1473,24.6273,11.0522,17.943,7.3964,[0.1225 0.395  0.5075],[0.1332 0.2025 0.2694],[0.165  0.8275 0.0325],[0.1932 0.1825 0.0454],"[22.0, 20.0, 19.0, 4.0, 19.0, 20.0, 2.0, 2.0, 1.0, 1.0]","[0.35, 0.15, 0.35, 0.0, 0.15, 0.2, 0.0, 0.05, 0.0, 0.0]",Synchronized,2,Solid,,
