model,signal,prediction,task,weight,n_runs,score_mean,score_ci,behavior_mean,behavior_ci,arousal_mean,arousal_ci,arousal_return_mean,arousal_return_ci,final_position_mean,final_position_ci,lap_time_mean,lap_time_ci,off_road_mean,off_road_ci,speed_mean,speed_ci,distance_to_cars_mean,distance_to_cars_ci,gas_pedal_mean,gas_pedal_ci,steering_mean,steering_ci,scores_raw,arousal_raw,final_position_raw,lap_time_raw,off_road_raw,distance_to_cars_raw,frequency,cluster,game
Explore,Ordinal,Classification,Imitate,0.0,7,19.8571,2.0282,0.7692,0.1325,0.474,0.0587,0.2474,0.06,3.4286,0.9026,53.0179,7.7856,0.479,0.0384,24.2786,1.6099,20.9427,6.3495,[ 0.          0.         15.24799525],[0.     0.     0.1166],[10.43748144  0.          4.81051381],[0.531 0.    0.578],"[22.0, 21.0, 20.0, 16.0, 18.0, 22.0, 20.0]","[0.45454545454545453, 0.5, 0.5454545454545454, 0.36363636363636365, 0.5454545454545454, 0.45454545454545453, 0.45454545454545453]","[2.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[58.375, 60.0, 39.0, 48.375, 62.875, 47.625, 54.875]","[0.4072473513171501, 0.499293450323435, 0.49421361670501424, 0.5293377900312659, 0.4751982163119955, 0.5049353616522597, 0.4425182730732187]","[17.480119229178143, 17.20094630494077, 16.612398249179392, 30.532693158663236, 30.16149046482184, 13.14276740367596, 21.468816806108524]",Synchronized,1,Solid
Explore,Ordinal,Classification,Imitate,0.0,6,19.8333,0.4284,0.8601,0.0577,0.575,0.0982,0.7089,0.0568,3.1744,1.379,55.7917,5.7913,0.4502,0.0434,25.4864,1.946,22.4306,7.7002,[ 0.          0.         15.19525446],[0.     0.     0.1655],[10.79355621  0.01801802  4.38368024],[1.0995 0.0463 1.0546],"[19.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[0.55, 0.75, 0.55, 0.5, 0.5, 0.6]","[4.0, 4.0, 4.0, 4.0, 2.0, 1.0466666]","[63.0, 59.75, 53.75, 48.625, 51.125, 58.5]","[0.505356128475605, 0.4518518576530811, 0.3830510540387115, 0.4286586097626591, 0.4623239470553965, 0.46997770569894626]","[31.280798136067187, 31.150273201200697, 14.66502818889446, 15.365947629694354, 20.402467500841297, 21.719191864209296]",Synchronized,2,Solid
Explore,Ordinal,Classification,Imitate,0.0,6,11.0,0.0,0.9797,0.0077,0.5152,0.0779,0.6073,0.0776,4.0,0.0,77.4583,18.0433,0.5646,0.0445,21.1596,1.2736,23.5183,3.4937,[ 0.          0.         15.19220779],[0.     0.     0.1387],[10.080146    0.          5.11206179],[1.0358 0.     0.9559],"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0]","[0.45454545454545453, 0.45454545454545453, 0.5454545454545454, 0.6363636363636364, 0.45454545454545453, 0.5454545454545454]","[4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[93.75, 93.75, 63.25, 70.0, 89.75, 54.25]","[0.5656813851891948, 0.49095143541366515, 0.5631043317848603, 0.5575465676383706, 0.6158589774312881, 0.5946562938566106]","[22.961414591471353, 26.130980670813358, 19.862557082403274, 23.314516972560508, 20.342914256862567, 28.497396078296735]",Synchronized,3,Solid
Explore,Ordinal,Classification,Imitate,0.0,6,17.0,0.0,0.9211,0.0479,0.4216,0.0465,0.2057,0.0621,3.3333,0.5419,55.9375,11.4707,0.4792,0.0525,23.4675,0.7513,22.6601,5.2208,[ 0.          0.         15.11350973],[0.     0.     0.1025],[10.50768415  0.04761905  4.55820653],[1.2055 0.0797 1.214 ],"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0]","[0.47058823529411764, 0.4117647058823529, 0.4117647058823529, 0.47058823529411764, 0.4117647058823529, 0.35294117647058826]","[4.0, 4.0, 3.0, 3.0, 3.0, 3.0]","[58.25, 69.25, 58.75, 63.75, 43.625, 42.0]","[0.5000126045461328, 0.5345626513718079, 0.49192381450817696, 0.5064507957441466, 0.3946796138888424, 0.44782946113670286]","[31.702059429713657, 18.842517650020014, 23.008139294669743, 17.458094031924293, 22.18798946025325, 22.761994594218685]",Synchronized,4,Solid
Explore,Ordinal,Classification,Imitate,0.5,7,20.4286,0.9026,0.8205,0.0627,0.7987,0.0331,0.2917,0.0608,3.4495,1.0148,51.2143,8.081,0.464,0.037,24.6185,0.8734,27.996,6.6244,[ 0.          0.         15.25766339],[0.     0.     0.0684],[10.64112204  0.07692308  4.53961828],[0.7593 0.1232 0.6634],"[20.0, 19.0, 21.0, 20.0, 22.0, 21.0, 20.0]","[0.8181818181818182, 0.7727272727272727, 0.8636363636363636, 0.7727272727272727, 0.7727272727272727, 0.8181818181818182, 0.7727272727272727]","[4.0, 4.0, 4.0, 4.0, 4.0, 3.0533333, 1.0933334]","[59.375, 58.75, 38.125, 52.25, 54.75, 55.5, 39.75]","[0.4247304373914781, 0.4759507854281606, 0.5019865321553616, 0.45972318809389245, 0.3978001123553195, 0.48162492987651606, 0.5059284162176335]","[21.653822483932764, 32.33257428927299, 32.76728342088879, 31.897992190980073, 37.16062840355767, 20.94209266320253, 19.217697150279314]",Synchronized,1,Solid
Explore,Ordinal,Classification,Imitate,0.5,7,20.0,0.0,0.8759,0.0203,0.85,0.0534,0.6999,0.0421,3.7143,0.4513,54.8571,5.7398,0.4731,0.0428,24.9008,0.9903,16.6822,3.2138,[ 0.          0.         15.09106967],[0.     0.     0.0925],[1.03030393e+01 3.86100386e-03 4.78416936e+00],[0.3342 0.0094 0.4161],"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[0.9, 0.9, 0.85, 0.9, 0.8, 0.75, 0.85]","[4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 3.0]","[47.375, 61.375, 50.0, 51.125, 58.0, 63.75, 52.375]","[0.4800584844003121, 0.4677157397626217, 0.4853309297023025, 0.5217421659356054, 0.46780167517375776, 0.5102654922852474, 0.3791262727260884]","[14.826020692524157, 14.844631622999142, 18.692213161571605, 13.871626405130353, 15.122536112811114, 15.651390744114781, 23.767162188968143]",Synchronized,2,Solid
Explore,Ordinal,Classification,Imitate,0.5,6,11.0,0.0,0.9683,0.0094,0.7727,0.0523,0.5776,0.0946,3.5,1.2853,74.875,14.4395,0.5621,0.0686,21.1858,1.6773,18.2961,7.3754,[ 0.          0.         15.19622129],[0.     0.     0.0989],[9.76264783 0.         5.43357346],[1.2666 0.     1.1969],"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0]","[0.8181818181818182, 0.8181818181818182, 0.7272727272727273, 0.8181818181818182, 0.7272727272727273, 0.7272727272727273]","[4.0, 4.0, 4.0, 4.0, 1.0, 4.0]","[90.0, 81.0, 89.75, 65.75, 63.75, 59.0]","[0.5979935298700935, 0.638081030233074, 0.5219483165955449, 0.5983134172931016, 0.5608812298240333, 0.45544513887253363]","[19.0960480446909, 11.180243264475177, 12.019007142384847, 16.856759404654454, 20.03206610960119, 30.592477466662725]",Synchronized,3,Solid
Explore,Ordinal,Classification,Imitate,0.5,6,17.0,0.0,0.9076,0.0302,0.8235,0.0552,0.2186,0.0464,3.8333,0.4284,53.5833,6.6892,0.4975,0.0538,24.5094,2.3464,20.7666,6.8479,[ 0.          0.         15.28132886],[0.     0.     0.0855],[10.14466829  0.03333333  5.10332723],[1.1794 0.0857 1.2203],"[17.0, 17.0, 17.0, 17.0, 17.0, 17.0]","[0.7647058823529411, 0.8235294117647058, 0.7647058823529411, 0.8823529411764706, 0.8823529411764706, 0.8235294117647058]","[4.0, 4.0, 4.0, 4.0, 3.0, 4.0]","[62.125, 55.625, 44.0, 57.875, 51.875, 50.0]","[0.4623871415590864, 0.4340699144503039, 0.5842639629976499, 0.4894776173116667, 0.5150514256121242, 0.49966292573864596]","[28.717846503484818, 12.195069848923456, 27.694489382067296, 21.79008077530634, 17.479457274189702, 16.722602584475563]",Synchronized,4,Solid
Explore,Ordinal,Classification,Imitate,1.0,7,19.5714,1.3982,0.7777,0.0859,0.8571,0.0511,0.263,0.0523,3.8771,0.3006,57.0,9.7038,0.4861,0.0275,24.134,1.0705,22.6023,7.1854,[ 0.          0.         15.18604203],[0.     0.     0.1275],[10.32195874  0.05561982  4.80846347],[0.4298 0.088  0.4356],"[20.0, 17.0, 21.0, 20.0, 20.0, 18.0, 21.0]","[0.9090909090909091, 0.7727272727272727, 0.9090909090909091, 0.8636363636363636, 0.8181818181818182, 0.8181818181818182, 0.9090909090909091]","[4.0, 4.0, 4.0, 3.1399999, 4.0, 4.0, 4.0]","[61.875, 71.125, 39.875, 65.625, 57.875, 52.75, 49.875]","[0.42955326525769694, 0.5036073092766719, 0.4869011771807469, 0.4932881389002679, 0.5018434811772212, 0.5201584629142098, 0.4674099520564488]","[25.26582805901243, 17.747221903108123, 34.65511449993166, 10.68192866806291, 23.884421699925472, 18.39787222788884, 27.583742442883942]",Synchronized,1,Solid
Explore,Ordinal,Classification,Imitate,1.0,7,20.0,0.0,0.8764,0.0304,0.9857,0.0226,0.6967,0.036,3.4286,1.0487,46.8393,12.9921,0.4917,0.0287,24.381,1.0141,18.4182,4.797,[ 0.          0.         15.28968351],[0.    0.    0.087],[10.45036747  0.02777778  4.81153827],[0.6323 0.068  0.5812],"[20.0, 20.0, 20.0, 20.0, 20.0, 20.0, 20.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 0.95]","[4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 1.0]","[25.75, 53.0, 63.75, 29.375, 48.875, 50.75, 56.375]","[0.4575190832980603, 0.5223081252279402, 0.4861502360378746, 0.443238096784002, 0.5221713641068151, 0.5064125883151285, 0.5040260565468833]","[21.914202613456577, 15.301376596271483, 15.594450859550957, 11.577142815117364, 16.537207115448272, 27.069422683009396, 20.933786091503798]",Synchronized,2,Solid
