model,signal,prediction,task,weight,n_runs,score_mean,score_ci,arousal_mean,arousal_ci,scores_raw,arousal_raw,frequency,cluster,game
PPO,Ordinal,Classification,Maximize,0.0,9,0.3937,0.1402,0.1694,0.0567,"[0.5434782608695652, 0.5652173913043478, 0.17391304347826086, 0.5, 0.5652173913043478, 0.30434782608695654, 0.34782608695652173, 0.4782608695652174, 0.06521739130434782]","[0.225, 0.25, 0.075, 0.175, 0.275, 0.125, 0.125, 0.2, 0.075]",Synchronized,0,platform
PPO,Ordinal,Classification,Maximize,0.5,9,0.4517,0.05,0.2083,0.0738,"[0.391304347826087, 0.391304347826087, 0.5, 0.5434782608695652, 0.43478260869565216, 0.3695652173913043, 0.5217391304347826, 0.41304347826086957, 0.5]","[0.225, 0.0, 0.2, 0.3, 0.225, 0.2, 0.35, 0.2, 0.175]",Synchronized,0,platform
PPO,Ordinal,Classification,Maximize,1.0,9,0.3285,0.1304,0.1806,0.0691,"[0.0, 0.45652173913043476, 0.10869565217391304, 0.41304347826086957, 0.5, 0.32608695652173914, 0.45652173913043476, 0.30434782608695654, 0.391304347826087]","[0.0, 0.25, 0.075, 0.225, 0.25, 0.175, 0.275, 0.175, 0.2]",Synchronized,0,platform
PPO,Ordinal,Classification,Minimize,0.5,9,0.3961,0.1375,0.2,0.0896,"[0.0, 0.45652173913043476, 0.4782608695652174, 0.6739130434782609, 0.4782608695652174, 0.34782608695652173, 0.34782608695652173, 0.391304347826087, 0.391304347826087]","[0.0, 0.275, 0.225, 0.35, 0.275, 0.25, 0.025, 0.175, 0.225]",Synchronized,0,platform
PPO,Ordinal,Classification,Minimize,1.0,9,0.4034,0.0435,0.2222,0.015,"[0.3695652173913043, 0.5217391304347826, 0.34782608695652173, 0.45652173913043476, 0.3695652173913043, 0.34782608695652173, 0.41304347826086957, 0.391304347826087, 0.41304347826086957]","[0.2, 0.225, 0.2, 0.25, 0.225, 0.225, 0.225, 0.25, 0.2]",Synchronized,0,platform
DQN,Ordinal,Classification,Maximize,0.0,7,0.3478,0.1942,0.1571,0.0987,"[0.21739130434782608, 0.6086956521739131, 0.4782608695652174, 0.21739130434782608, 0.4782608695652174, 0.0, 0.43478260869565216]","[0.1, 0.275, 0.25, 0.05, 0.2, 0.0, 0.225]",Synchronized,0,platform
DQN,Ordinal,Classification,Maximize,0.5,7,0.3447,0.1551,0.175,0.0885,"[0.41304347826086957, 0.2826086956521739, 0.41304347826086957, 0.0, 0.5, 0.45652173913043476, 0.34782608695652173]","[0.175, 0.1, 0.275, 0.0, 0.2, 0.225, 0.25]",Synchronized,0,platform
DQN,Ordinal,Classification,Maximize,1.0,6,0.2826,0.0645,0.1958,0.0561,"[0.2826086956521739, 0.32608695652173914, 0.34782608695652173, 0.17391304347826086, 0.30434782608695654, 0.2608695652173913]","[0.225, 0.2, 0.2, 0.125, 0.275, 0.15]",Synchronized,0,platform
DQN,Ordinal,Classification,Minimize,0.5,6,0.2283,0.2134,0.1333,0.1216,"[0.15217391304347827, 0.41304347826086957, 0.0, 0.43478260869565216, 0.3695652173913043, 0.0]","[0.1, 0.225, 0.0, 0.25, 0.225, 0.0]",Synchronized,0,platform
DQN,Ordinal,Classification,Minimize,1.0,7,0.087,0.0899,0.0429,0.0608,"[0.21739130434782608, 0.08695652173913043, 0.0, 0.08695652173913043, 0.0, 0.0, 0.21739130434782608]","[0.125, 0.0, 0.0, 0.025, 0.0, 0.0, 0.15]",Synchronized,0,platform
Explore,Ordinal,Classification,Maximize,0.0,2,0.75,0.0,0.5417,1.0589,"[0.75, 0.75]","[0.4583333333333333, 0.625]",Synchronized,0,platform
Explore,Ordinal,Classification,Maximize,0.5,3,0.7083,0.1035,0.5833,0.207,"[0.75, 0.6666666666666666, 0.7083333333333334]","[0.6666666666666666, 0.5, 0.5833333333333334]",Synchronized,0,platform
Explore,Ordinal,Classification,Maximize,1.0,2,0.7292,0.7941,0.6458,0.7941,"[0.7916666666666666, 0.6666666666666666]","[0.7083333333333334, 0.5833333333333334]",Synchronized,0,platform
Explore,Ordinal,Classification,Minimize,0.5,2,0.7708,0.2647,0.3333,0.0,"[0.75, 0.7916666666666666]","[0.3333333333333333, 0.3333333333333333]",Synchronized,0,platform
Explore,Ordinal,Classification,Minimize,1.0,3,0.6528,0.0598,0.5417,0.1035,"[0.6666666666666666, 0.6666666666666666, 0.625]","[0.5416666666666666, 0.5833333333333334, 0.5]",Synchronized,0,platform
PPO,Ordinal,Classification,Maximize,0.0,9,0.4179,0.1449,0.6222,0.1879,"[0.34782608695652173, 0.5217391304347826, 0.3695652173913043, 0.5217391304347826, 0.4782608695652174, 0.6956521739130435, 0.0, 0.41304347826086957, 0.41304347826086957]","[0.625, 0.725, 0.775, 0.7, 0.65, 0.75, 0.0, 0.8, 0.575]",Asynchronized,0,platform
PPO,Ordinal,Classification,Maximize,0.5,9,0.4541,0.0446,0.6278,0.1859,"[0.5652173913043478, 0.45652173913043476, 0.43478260869565216, 0.43478260869565216, 0.4782608695652174, 0.391304347826087, 0.45652173913043476, 0.3695652173913043, 0.5]","[0.65, 0.7, 0.725, 0.0, 0.625, 0.7, 0.8, 0.775, 0.675]",Asynchronized,0,platform
PPO,Ordinal,Classification,Maximize,1.0,9,0.2657,0.138,0.8,0.1096,"[0.0, 0.45652173913043476, 0.10869565217391304, 0.08695652173913043, 0.43478260869565216, 0.391304347826087, 0.391304347826087, 0.391304347826087, 0.13043478260869565]","[0.975, 0.7, 0.975, 0.95, 0.65, 0.825, 0.825, 0.65, 0.65]",Asynchronized,0,platform
PPO,Ordinal,Classification,Minimize,0.5,9,0.3841,0.17,0.2194,0.0984,"[0.391304347826087, 0.5, 0.0, 0.41304347826086957, 0.5869565217391305, 0.2608695652173913, 0.5434782608695652, 0.6521739130434783, 0.10869565217391304]","[0.225, 0.225, 0.0, 0.3, 0.375, 0.15, 0.2, 0.4, 0.1]",Asynchronized,0,platform
PPO,Ordinal,Classification,Minimize,1.0,9,0.4155,0.0328,0.3389,0.0897,"[0.391304347826087, 0.43478260869565216, 0.391304347826087, 0.34782608695652173, 0.391304347826087, 0.4782608695652174, 0.4782608695652174, 0.41304347826086957, 0.41304347826086957]","[0.325, 0.325, 0.4, 0.325, 0.375, 0.2, 0.25, 0.6, 0.25]",Asynchronized,0,platform
DQN,Ordinal,Classification,Maximize,0.0,7,0.3385,0.1741,0.5714,0.2367,"[0.2826086956521739, 0.0, 0.32608695652173914, 0.3695652173913043, 0.6086956521739131, 0.4782608695652174, 0.30434782608695654]","[0.6, 0.0, 0.65, 0.7, 0.7, 0.725, 0.625]",Asynchronized,0,platform
DQN,Ordinal,Classification,Maximize,0.5,7,0.3075,0.1341,0.7107,0.1805,"[0.3695652173913043, 0.30434782608695654, 0.43478260869565216, 0.0, 0.41304347826086957, 0.32608695652173914, 0.30434782608695654]","[0.725, 0.7, 0.675, 1.0, 0.35, 0.825, 0.7]",Asynchronized,0,platform
DQN,Ordinal,Classification,Maximize,1.0,6,0.3043,0.1825,0.5083,0.2674,"[0.34782608695652173, 0.34782608695652173, 0.43478260869565216, 0.21739130434782608, 0.0, 0.4782608695652174]","[0.675, 0.575, 0.625, 0.525, 0.0, 0.65]",Asynchronized,0,platform
DQN,Ordinal,Classification,Minimize,0.5,6,0.2717,0.1754,0.2875,0.2548,"[0.32608695652173914, 0.17391304347826086, 0.2608695652173913, 0.43478260869565216, 0.43478260869565216, 0.0]","[0.5, 0.525, 0.25, 0.45, 0.0, 0.0]",Asynchronized,0,platform
DQN,Ordinal,Classification,Minimize,1.0,7,0.1615,0.1313,0.2036,0.1453,"[0.21739130434782608, 0.10869565217391304, 0.0, 0.34782608695652173, 0.0, 0.13043478260869565, 0.32608695652173914]","[0.4, 0.275, 0.0, 0.2, 0.0, 0.2, 0.35]",Asynchronized,0,platform
Explore,Ordinal,Classification,Maximize,0.0,4,31.25,4.9259,44.1667,8.2455,"[34.0, 33.0, 31.0, 27.0]","[40.0, 41.66666666666667, 43.33333333333333, 51.66666666666667]",Asynchronized,0,platform
Explore,Ordinal,Classification,Maximize,0.5,2,10.0,12.7062,60.8333,10.5885,"[9.0, 11.0]","[61.66666666666667, 60.0]",Asynchronized,0,platform
Explore,Ordinal,Classification,Maximize,1.0,2,7.0,12.7062,61.6667,0.0,"[6.0, 8.0]","[61.66666666666667, 61.66666666666667]",Asynchronized,0,platform
Explore,Ordinal,Classification,Minimize,0.5,2,20.0,25.4124,25.0,21.177,"[18.0, 22.0]","[23.333333333333336, 26.666666666666664]",Asynchronized,0,platform
Explore,Ordinal,Classification,Minimize,1.0,2,7.0,38.1186,47.5,10.5885,"[10.0, 4.0]","[48.33333333333333, 46.66666666666667]",Asynchronized,0,platform
