model,signal,prediction,task,weight,score_mean,score_ci,arousal_mean,arousal_ci,scores_raw,arousal_raw,frequency,cluster,game
Random,Interval,Classification,Minimize,0.5,0.2,0.5553,0.2,0.5553,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0, 0, 1.0, 0, 0]",Synchronized,0,
Random,Interval,Regression,Minimize,0.5,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
Random,Ordinal,Classification,Minimize,0.5,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
Random,Ordinal,Regression,Minimize,0.5,0.2,0.5553,0.0359,0.0997,"[1.0, 0.0, 0.0, 0.0, 0.0]","[0.17962540153000428, 0, 0, 0, 0]",Synchronized,0,
PPO,Interval,Classification,Minimize,0.5,11,9.6179,0.5132,0.4698,"[0.0, 6.0, 14.0, 17.0, 18.0]","[0, 0.8333333333333334, 0.9285714285714286, 0.47058823529411764, 0.3333333333333333]",Synchronized,0,
PPO,Interval,Regression,Minimize,0.5,15,15.3836,0.2474,0.1891,"[25.0, 3.0, 23.0, 0.0, 24.0]","[0.3016063396066841, 0.41106797270821743, 0.23583377048454204, 0, 0.2885193284214646]",Synchronized,0,
PPO,Ordinal,Classification,Minimize,0.5,20.6,1.6659,0.2261,0.1528,"[20.0, 22.0, 22.0, 20.0, 19.0]","[0.3, 0.09090909090909091, 0.18181818181818182, 0.4, 0.15789473684210525]",Synchronized,0,
PPO,Ordinal,Regression,Minimize,0.5,24.2,1.0389,0.3102,0.0312,"[25.0, 25.0, 23.0, 24.0, 24.0]","[0.3251971389325543, 0.3240187293135458, 0.2994411023321521, 0.27100448732652394, 0.33149458458703185]",Synchronized,0,
DQN,Interval,Classification,Minimize,0.5,15,10.239,0.5617,0.4971,"[21.0, 6.0, 20.0, 6.0, 22.0]","[0.2857142857142857, 1.0, 0.25, 1.0, 0.2727272727272727]",Synchronized,0,
DQN,Interval,Regression,Minimize,0.5,17.4,12.9515,0.3062,0.0871,"[25.0, 26.0, 24.0, 6.0, 6.0]","[0.23153901625275608, 0.2605542074731734, 0.27705046210787265, 0.37916145989322275, 0.3826895539085294]",Synchronized,0,
DQN,Ordinal,Classification,Minimize,0.5,17.2,12.273,0.2097,0.2651,"[0.0, 25.0, 19.0, 22.0, 20.0]","[0, 0.08, 0.3684210526315789, 0.5, 0.1]",Synchronized,0,
Random,Interval,Classification,Maximize,0.5,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
Random,Interval,Regression,Maximize,0.5,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
Random,Ordinal,Classification,Maximize,0.5,0.4,0.6801,0.2,0.5553,"[1.0, 0.0, 1.0, 0.0, 0.0]","[1.0, 0, 0.0, 0, 0]",Synchronized,0,
Random,Ordinal,Regression,Maximize,0.5,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0]",Synchronized,0,
PPO,Interval,Classification,Maximize,0.5,20.6,3.2379,0.6843,0.0715,"[23.0, 17.0, 21.0, 19.0, 23.0]","[0.6956521739130435, 0.5882352941176471, 0.7142857142857143, 0.6842105263157895, 0.7391304347826086]",Synchronized,0,
PPO,Interval,Regression,Maximize,0.5,19.6,5.6629,0.2461,0.0582,"[12.0, 24.0, 22.0, 20.0, 20.0]","[0.17577883812064585, 0.25943536393509325, 0.2671934401806952, 0.2999004915571875, 0.2282976907943562]",Synchronized,0,
PPO,Ordinal,Classification,Maximize,0.5,16.8,8.665,0.6328,0.3767,"[22.0, 6.0, 19.0, 23.0, 14.0]","[0.8636363636363636, 0.16666666666666666, 0.8947368421052632, 0.7391304347826086, 0.5]",Synchronized,0,
PPO,Ordinal,Regression,Maximize,0.5,11,7.7542,0.2491,0.0323,"[14.0, 6.0, 18.0, 14.0, 3.0]","[0.2872072166397369, 0.2230030554576122, 0.258547097672191, 0.22695842582922326, 0.249667235724628]",Synchronized,0,
DQN,Interval,Classification,Maximize,0.5,19.6,9.4807,0.5889,0.4106,"[22.0, 23.0, 24.0, 23.0, 6.0]","[0.7272727272727273, 0.6956521739130435, 0.7391304347826086, 0.782608695652174, 0.0]",Synchronized,0,
DQN,Interval,Regression,Maximize,0.5,24.4,1.4157,0.2712,0.0119,"[25.0, 26.0, 24.0, 23.0, 24.0]","[0.28472650293165613, 0.2774762046838609, 0.2653248246611717, 0.26673817616950385, 0.26160377337442087]",Synchronized,0,
DQN,Ordinal,Classification,Maximize,0.5,18,11.278,0.8156,0.1411,"[23.0, 2.0, 21.0, 20.0, 24.0]","[0.782608695652174, 1.0, 0.7619047619047619, 0.7, 0.8333333333333334]",Synchronized,0,
Random,Interval,Classification,Minimize,1,0.2,0.5553,0.2,0.5553,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0, 0, 0, 0, 1.0]",Synchronized,0,
